order_id,customer_id,order_date,order_status,total_amount
76,57,11/16/2025,Ready,29.0
77,6,12/8/2025,Ready,5.0
78,66,11/12/2025,Ready,4.0
79,6,11/14/2025,Cancelled,27.0
80,29,11/28/2025,Ready,7.0
81,3,12/5/2025,Ready,18.0
82,1,11/23/2025,Ready,12.0
83,100,11/30/2025,Ready,28.0
84,9,12/7/2025,Cancelled,7.0
85,35,11/29/2025,Cancelled,6.0
86,44,11/29/2025,Cancelled,7.0
87,50,12/5/2025,Cancelled,8.0
88,26,11/29/2025,Ready,8.0
89,66,11/12/2025,Ready,6.0
90,84,11/19/2025,Ready,8.0
91,66,11/23/2025,Ready,8.0
92,78,11/22/2025,Ready,30.0
93,14,11/28/2025,Ready,6.0
94,39,11/20/2025,Ready,24.0
95,57,12/6/2025,Ready,11.0
96,31,11/22/2025,Cancelled,4.0
97,90,11/14/2025,Cancelled,6.0
98,75,11/11/2025,Ready,30.0
99,45,11/11/2025,Ready,7.0
100,6,11/22/2025,Ready,8.0
101,97,11/22/2025,Ready,26.0
102,73,11/29/2025,Ready,28.0
103,44,11/20/2025,Ready,6.0
104,24,11/13/2025,Cancelled,15.0
105,6,11/19/2025,Cancelled,17.0
106,28,11/30/2025,Ready,13.0
107,19,11/21/2025,Ready,24.0
108,44,12/7/2025,Ready,4.0
109,46,11/12/2025,Ready,5.0
110,56,11/21/2025,Cancelled,6.0
111,36,12/6/2025,Cancelled,7.0
112,53,11/25/2025,Ready,5.0
113,16,12/1/2025,Ready,27.0
114,21,12/5/2025,Cancelled,15.0
115,86,11/25/2025,Ready,29.0
116,15,11/11/2025,Ready,7.0
117,77,11/19/2025,Cancelled,8.0
118,86,11/27/2025,Ready,21.0
119,48,11/12/2025,Ready,6.0
120,7,11/12/2025,Ready,20.0
121,55,12/7/2025,Ready,6.0
122,39,11/20/2025,Ready,13.0
123,95,11/16/2025,Ready,8.0
124,18,11/16/2025,Ready,4.0
125,60,11/16/2025,Ready,4.0
126,30,11/24/2025,Ready,5.0
127,42,11/18/2025,Ready,19.0
128,59,11/13/2025,Ready,31.0
129,18,11/30/2025,Ready,12.0
130,5,12/8/2025,Cancelled,8.0
131,4,12/4/2025,Ready,6.0
132,47,11/28/2025,Ready,7.0
133,67,11/25/2025,Ready,8.0
134,72,11/16/2025,Ready,7.0
135,7,12/4/2025,Ready,5.0
136,52,11/23/2025,Ready,34.0
137,56,11/16/2025,Ready,14.0
138,31,11/14/2025,Ready,8.0
139,76,12/9/2025,Ready,5.0
140,39,11/16/2025,Ready,17.0
141,100,12/8/2025,Ready,7.0
142,67,12/7/2025,Ready,5.0
143,94,12/4/2025,Ready,6.0
144,59,12/5/2025,Ready,34.0
145,1,12/5/2025,Ready,7.0
146,44,11/29/2025,Cancelled,15.0
147,45,11/13/2025,Ready,8.0
148,47,12/5/2025,Ready,9.0
149,40,12/4/2025,Ready,5.0
150,56,12/3/2025,Ready,6.0
151,97,11/29/2025,Ready,7.0
152,71,12/10/2025,Ready,6.0
153,51,11/21/2025,Ready,6.0
154,29,12/2/2025,Ready,8.0
155,14,11/14/2025,Cancelled,4.0
156,45,11/14/2025,Ready,10.0
157,70,12/4/2025,Ready,8.0
158,13,11/17/2025,Ready,4.0
159,45,12/7/2025,Ready,8.0
160,71,11/19/2025,Cancelled,35.0
161,12,12/2/2025,Cancelled,17.0
162,77,12/10/2025,Cancelled,8.0
163,30,12/8/2025,Ready,11.0
164,12,11/23/2025,Ready,16.0
165,89,11/19/2025,Ready,8.0
166,91,12/5/2025,Ready,17.0
167,7,12/4/2025,Ready,13.0
168,71,12/10/2025,Ready,26.0
169,48,11/30/2025,Ready,10.0
170,27,12/7/2025,Cancelled,12.0
171,29,12/4/2025,Ready,31.0
172,87,12/1/2025,Ready,22.0
173,10,11/25/2025,Ready,6.0
174,57,11/18/2025,Ready,12.0
175,43,11/30/2025,Ready,5.0
176,62,12/9/2025,Cancelled,6.0
177,4,11/17/2025,Ready,8.0
178,81,11/29/2025,Ready,5.0
179,37,12/5/2025,Ready,26.0
180,96,12/5/2025,Ready,12.0
181,19,11/25/2025,Ready,10.0
182,39,11/18/2025,Ready,7.0
183,72,12/6/2025,Ready,6.0
184,68,11/26/2025,Ready,7.0
185,87,11/18/2025,Ready,6.0
186,67,12/6/2025,Ready,5.0
187,81,11/18/2025,Ready,7.0
188,80,11/16/2025,Ready,6.0
189,51,11/24/2025,Ready,10.0
190,32,12/1/2025,Cancelled,15.0
191,23,12/3/2025,Ready,8.0
192,15,11/19/2025,Ready,5.0
193,62,12/1/2025,Ready,11.0
194,59,11/25/2025,Ready,22.0
195,59,12/8/2025,Ready,15.0
196,83,12/1/2025,Ready,7.0
197,45,12/3/2025,Ready,7.0
198,23,11/16/2025,Cancelled,16.0
199,80,11/11/2025,Ready,6.0
200,83,11/19/2025,Cancelled,8.0
201,85,12/3/2025,Ready,8.0
202,97,12/2/2025,Ready,5.0
203,1,12/2/2025,Ready,8.0
204,83,11/29/2025,Ready,30.0
205,57,12/4/2025,Cancelled,7.0
206,81,12/9/2025,Ready,8.0
207,97,12/7/2025,Ready,8.0
208,19,11/14/2025,Ready,8.0
209,83,12/10/2025,Cancelled,18.0
210,54,11/24/2025,Ready,26.0
211,41,11/24/2025,Cancelled,15.0
212,64,11/23/2025,Ready,7.0
213,20,12/3/2025,Ready,31.0
214,54,12/5/2025,Ready,6.0
215,97,12/2/2025,Ready,10.0
216,19,11/12/2025,Ready,25.0
217,36,11/19/2025,Ready,6.0
218,99,11/16/2025,Cancelled,8.0
219,6,11/17/2025,Ready,9.0
220,39,12/5/2025,Ready,13.0
221,81,11/17/2025,Ready,4.0
222,52,11/21/2025,Ready,15.0
223,93,12/7/2025,Ready,27.0
224,74,11/15/2025,Ready,11.0
225,56,11/11/2025,Ready,31.0
226,29,11/25/2025,Ready,8.0
227,16,11/28/2025,Cancelled,31.0
228,64,12/10/2025,Ready,12.0
229,54,11/19/2025,Ready,6.0
230,29,11/25/2025,Ready,6.0
231,8,12/4/2025,Ready,7.0
232,1,12/3/2025,Ready,7.0
233,14,12/2/2025,Cancelled,18.0
234,62,12/3/2025,Ready,4.0
235,88,11/18/2025,Ready,4.0
236,98,12/1/2025,Ready,4.0
237,5,12/7/2025,Ready,5.0
238,62,11/18/2025,Cancelled,4.0
239,86,11/24/2025,Ready,15.0
240,81,12/2/2025,Ready,8.0
241,22,11/30/2025,Ready,13.0
242,12,11/19/2025,Ready,12.0
243,39,12/8/2025,Ready,12.0
244,83,12/1/2025,Ready,7.0
245,22,12/2/2025,Ready,29.0
246,1,11/30/2025,Ready,4.0
247,92,12/6/2025,Ready,9.0
248,68,12/9/2025,Ready,25.0
249,29,12/7/2025,Ready,7.0
250,6,11/11/2025,Ready,6.0
251,21,11/15/2025,Ready,11.0
252,46,12/9/2025,Ready,7.0
253,52,11/20/2025,Cancelled,29.0
254,62,12/9/2025,Ready,12.0
255,13,11/20/2025,Cancelled,15.0
256,51,11/14/2025,Ready,20.0
257,99,11/26/2025,Ready,5.0
258,42,11/23/2025,Ready,10.0
259,1,12/6/2025,Cancelled,15.0
260,93,12/6/2025,Ready,7.0
261,11,12/7/2025,Cancelled,6.0
262,13,12/8/2025,Ready,12.0
263,38,11/27/2025,Ready,29.0
264,97,11/29/2025,Cancelled,4.0
265,76,11/19/2025,Ready,20.0
266,27,11/26/2025,Ready,7.0
267,10,12/3/2025,Ready,9.0
268,93,11/23/2025,Ready,35.0
269,75,11/23/2025,Ready,14.0
270,14,11/12/2025,Cancelled,14.0
271,74,11/11/2025,Cancelled,25.0
272,37,11/22/2025,Ready,19.0
273,80,11/19/2025,Ready,11.0
274,39,12/1/2025,Cancelled,13.0
275,46,12/6/2025,Ready,4.0
276,56,12/10/2025,Ready,7.0
277,30,11/22/2025,Ready,24.0
278,86,11/23/2025,Ready,4.0
279,24,11/29/2025,Ready,15.0
280,18,12/7/2025,Ready,6.0
281,20,11/11/2025,Ready,13.0
282,42,12/2/2025,Cancelled,4.0
283,56,12/2/2025,Ready,5.0
284,92,11/29/2025,Ready,14.0
285,27,12/4/2025,Cancelled,33.0
286,41,11/24/2025,Ready,15.0
287,76,12/10/2025,Ready,15.0
288,17,12/5/2025,Cancelled,7.0
289,3,11/27/2025,Ready,6.0
290,95,12/7/2025,Ready,7.0
291,92,11/23/2025,Ready,33.0
292,29,12/2/2025,Ready,20.0
293,5,11/29/2025,Ready,30.0
294,79,12/1/2025,Ready,5.0
295,3,12/4/2025,Ready,4.0
296,46,12/5/2025,Ready,5.0
297,25,12/6/2025,Cancelled,5.0
298,15,11/28/2025,Cancelled,5.0
299,49,11/24/2025,Cancelled,30.0
300,82,11/13/2025,Cancelled,15.0
301,43,11/14/2025,Cancelled,17.0
302,50,11/25/2025,Cancelled,7.0
303,93,11/15/2025,Ready,28.0
304,8,12/7/2025,Ready,22.0
305,59,11/17/2025,Ready,33.0
306,31,11/19/2025,Ready,4.0
307,47,12/6/2025,Ready,6.0
308,24,11/20/2025,Ready,21.0
309,63,12/5/2025,Ready,14.0
310,90,11/30/2025,Cancelled,8.0
311,91,12/10/2025,Ready,14.0
312,31,11/16/2025,Ready,13.0
313,50,11/25/2025,Cancelled,6.0
314,47,11/13/2025,Ready,6.0
315,47,12/5/2025,Ready,23.0
316,43,11/26/2025,Ready,25.0
317,4,12/5/2025,Ready,26.0
318,39,11/18/2025,Cancelled,12.0
319,63,11/16/2025,Ready,10.0
320,16,12/4/2025,Ready,4.0
321,6,12/2/2025,Ready,11.0
322,29,12/7/2025,Ready,7.0
323,45,12/3/2025,Ready,26.0
324,30,12/8/2025,Cancelled,31.0
325,86,12/8/2025,Ready,6.0
326,21,11/16/2025,Ready,13.0
327,86,11/23/2025,Cancelled,5.0
328,26,11/16/2025,Ready,6.0
329,71,12/8/2025,Ready,5.0
330,22,11/19/2025,Ready,4.0
331,62,11/25/2025,Ready,11.0
332,3,11/29/2025,Ready,9.0
333,80,11/15/2025,Ready,9.0
334,65,11/25/2025,Ready,17.0
335,93,12/2/2025,Ready,5.0
336,55,11/26/2025,Cancelled,10.0
337,28,11/26/2025,Ready,6.0
338,12,11/26/2025,Ready,18.0
339,55,12/10/2025,Ready,17.0
340,63,11/13/2025,Ready,8.0
341,38,11/26/2025,Ready,7.0
342,60,11/11/2025,Ready,5.0
343,89,11/13/2025,Ready,5.0
344,32,11/28/2025,Cancelled,8.0
345,62,12/3/2025,Ready,6.0
346,62,11/27/2025,Ready,8.0
347,1,12/7/2025,Ready,8.0
348,65,11/18/2025,Cancelled,5.0
349,22,11/30/2025,Ready,12.0
350,7,11/17/2025,Cancelled,13.0
351,34,11/18/2025,Ready,6.0
352,3,12/4/2025,Ready,5.0
353,4,11/14/2025,Cancelled,6.0
354,67,12/1/2025,Ready,12.0
355,73,12/6/2025,Ready,13.0
356,46,12/3/2025,Ready,4.0
357,92,11/27/2025,Ready,27.0
358,26,11/28/2025,Ready,8.0
359,30,11/25/2025,Cancelled,8.0
360,20,11/19/2025,Ready,31.0
361,68,11/17/2025,Ready,34.0
362,28,11/25/2025,Ready,7.0
363,8,11/20/2025,Cancelled,21.0
364,69,11/26/2025,Ready,6.0
365,28,12/1/2025,Ready,18.0
366,96,11/14/2025,Cancelled,12.0
367,40,12/7/2025,Ready,8.0
368,83,11/21/2025,Cancelled,7.0
369,32,11/28/2025,Cancelled,14.0
370,70,12/5/2025,Cancelled,15.0
371,93,12/5/2025,Ready,13.0
372,80,11/25/2025,Ready,6.0
373,44,12/6/2025,Ready,6.0
374,52,12/4/2025,Ready,6.0
375,43,11/15/2025,Ready,9.0
376,61,11/20/2025,Cancelled,8.0
377,10,11/19/2025,Ready,13.0
378,6,11/30/2025,Ready,25.0
379,43,11/30/2025,Ready,11.0
380,36,12/8/2025,Ready,12.0
381,4,11/20/2025,Ready,8.0
382,6,11/12/2025,Ready,21.0
383,30,12/9/2025,Ready,8.0
384,8,11/11/2025,Ready,34.0
385,5,12/2/2025,Ready,6.0
386,96,11/23/2025,Cancelled,8.0
387,77,12/10/2025,Ready,4.0
388,86,11/14/2025,Ready,28.0
389,75,11/11/2025,Ready,9.0
390,2,12/7/2025,Ready,25.0
391,67,11/19/2025,Cancelled,12.0
392,26,12/1/2025,Cancelled,4.0
393,64,12/2/2025,Ready,35.0
394,31,11/16/2025,Ready,4.0
395,51,11/17/2025,Ready,9.0
396,56,11/20/2025,Ready,5.0
397,93,11/26/2025,Ready,12.0
398,27,11/20/2025,Cancelled,11.0
399,1,12/8/2025,Ready,10.0
400,59,12/4/2025,Ready,6.0
401,48,11/12/2025,Cancelled,8.0
402,74,11/19/2025,Cancelled,7.0
403,52,11/15/2025,Ready,17.0
404,31,11/27/2025,Ready,8.0
405,32,11/22/2025,Ready,4.0
406,39,11/12/2025,Ready,6.0
407,16,12/5/2025,Cancelled,4.0
408,12,12/9/2025,Ready,7.0
409,7,11/27/2025,Ready,17.0
410,42,11/24/2025,Ready,5.0
411,89,11/14/2025,Ready,7.0
412,55,12/9/2025,Cancelled,6.0
413,51,11/20/2025,Ready,8.0
414,30,11/18/2025,Ready,6.0
415,36,11/12/2025,Ready,7.0
416,94,11/16/2025,Ready,18.0
417,44,12/7/2025,Ready,30.0
418,58,11/26/2025,Ready,13.0
419,31,11/30/2025,Ready,14.0
420,89,12/10/2025,Ready,13.0
421,17,11/22/2025,Ready,28.0
422,63,11/23/2025,Ready,29.0
423,82,12/5/2025,Ready,6.0
424,68,12/10/2025,Ready,14.0
425,83,11/13/2025,Ready,7.0
426,27,11/13/2025,Ready,12.0
427,62,11/20/2025,Ready,13.0
428,64,11/18/2025,Cancelled,25.0
429,42,11/20/2025,Ready,24.0
430,28,11/30/2025,Ready,11.0
431,50,11/23/2025,Ready,7.0
432,16,12/2/2025,Ready,8.0
433,23,11/16/2025,Ready,8.0
434,25,11/26/2025,Ready,4.0
435,69,11/21/2025,Ready,4.0
436,89,12/7/2025,Ready,8.0
437,89,11/28/2025,Cancelled,4.0
438,58,12/4/2025,Ready,10.0
439,55,11/25/2025,Ready,34.0
440,29,12/8/2025,Cancelled,27.0
441,62,11/14/2025,Ready,8.0
442,60,12/4/2025,Ready,7.0
443,78,11/14/2025,Cancelled,34.0
444,27,11/24/2025,Ready,4.0
445,61,11/28/2025,Ready,5.0
446,81,11/30/2025,Ready,25.0
447,24,11/15/2025,Ready,8.0
448,62,11/26/2025,Ready,7.0
449,87,11/17/2025,Ready,7.0
450,93,11/17/2025,Cancelled,4.0
451,54,12/9/2025,Ready,22.0
452,1,12/2/2025,Ready,5.0
453,38,12/6/2025,Cancelled,10.0
454,14,11/19/2025,Ready,7.0
455,78,11/19/2025,Ready,5.0
456,80,11/20/2025,Ready,26.0
457,7,11/24/2025,Ready,8.0
458,5,11/15/2025,Ready,25.0
459,14,11/15/2025,Ready,11.0
460,78,11/12/2025,Ready,9.0
461,15,11/26/2025,Ready,4.0
462,71,11/26/2025,Ready,28.0
463,26,11/14/2025,Cancelled,7.0
464,97,11/11/2025,Ready,12.0
465,58,11/11/2025,Ready,10.0
466,42,12/5/2025,Ready,25.0
467,1,12/2/2025,Ready,19.0
468,85,11/25/2025,Ready,28.0
469,52,12/1/2025,Cancelled,6.0
470,43,11/25/2025,Ready,7.0
471,17,11/30/2025,Ready,5.0
472,49,11/15/2025,Ready,26.0
473,52,12/5/2025,Ready,4.0
474,75,11/13/2025,Ready,33.0
475,73,12/2/2025,Ready,4.0
476,37,12/9/2025,Ready,8.0
477,15,12/8/2025,Ready,5.0
478,83,11/30/2025,Ready,9.0
479,95,11/29/2025,Ready,7.0
480,59,11/11/2025,Ready,15.0
481,5,12/6/2025,Ready,23.0
482,54,12/8/2025,Cancelled,14.0
483,19,11/26/2025,Ready,15.0
484,63,11/21/2025,Ready,4.0
485,12,11/24/2025,Ready,15.0
486,90,11/11/2025,Ready,15.0
487,91,11/21/2025,Ready,15.0
488,90,12/8/2025,Ready,8.0
489,82,11/27/2025,Ready,4.0
490,91,12/4/2025,Ready,7.0
491,65,11/29/2025,Ready,6.0
492,54,11/29/2025,Ready,29.0
493,94,12/5/2025,Ready,6.0
494,82,11/21/2025,Ready,10.0
495,8,12/10/2025,Cancelled,15.0
496,72,11/21/2025,Ready,12.0
497,61,11/12/2025,Ready,14.0
498,53,11/22/2025,Ready,14.0
499,6,11/28/2025,Ready,6.0
500,8,11/28/2025,Ready,12.0
501,23,12/7/2025,Ready,5.0
502,23,11/26/2025,Cancelled,7.0
503,61,12/7/2025,Ready,8.0
504,28,11/15/2025,Ready,26.0
505,78,11/25/2025,Ready,25.0
506,92,11/13/2025,Cancelled,5.0
507,94,11/26/2025,Ready,9.0
508,78,11/18/2025,Ready,8.0
509,28,11/24/2025,Ready,5.0
510,78,11/28/2025,Ready,12.0
511,66,11/20/2025,Cancelled,7.0
512,4,11/27/2025,Ready,8.0
513,37,12/4/2025,Ready,7.0
514,30,11/13/2025,Ready,4.0
515,47,12/4/2025,Ready,14.0
516,6,12/6/2025,Ready,31.0
517,73,11/20/2025,Ready,5.0
518,49,11/21/2025,Ready,26.0
519,68,12/4/2025,Ready,13.0
520,20,12/8/2025,Ready,7.0
521,96,11/18/2025,Ready,4.0
522,30,12/1/2025,Ready,18.0
523,71,12/6/2025,Ready,6.0
524,79,12/6/2025,Ready,14.0
525,54,11/18/2025,Ready,8.0
526,100,12/7/2025,Cancelled,35.0
527,66,11/24/2025,Ready,8.0
528,6,11/16/2025,Ready,29.0
529,11,11/25/2025,Cancelled,6.0
530,67,11/22/2025,Ready,8.0
531,77,11/30/2025,Ready,8.0
532,66,11/29/2025,Ready,6.0
533,65,11/25/2025,Ready,31.0
534,23,11/21/2025,Ready,5.0
535,9,11/27/2025,Ready,18.0
536,72,12/8/2025,Cancelled,7.0
537,89,12/5/2025,Ready,25.0
538,25,11/12/2025,Ready,6.0
539,94,11/23/2025,Ready,25.0
540,75,11/19/2025,Ready,7.0
541,63,11/12/2025,Ready,8.0
542,21,12/9/2025,Ready,27.0
543,35,11/26/2025,Ready,8.0
544,61,12/7/2025,Ready,18.0
545,88,11/18/2025,Ready,8.0
546,26,12/2/2025,Ready,18.0
547,28,11/13/2025,Ready,8.0
548,51,12/2/2025,Ready,5.0
549,7,11/29/2025,Ready,7.0
550,35,11/19/2025,Cancelled,14.0
551,97,12/1/2025,Ready,17.0
552,47,11/19/2025,Ready,9.0
553,78,11/14/2025,Ready,17.0
554,93,11/21/2025,Ready,7.0
555,79,11/22/2025,Cancelled,7.0
556,95,12/5/2025,Ready,6.0
557,45,11/12/2025,Ready,4.0
558,95,11/22/2025,Ready,29.0
559,10,11/22/2025,Ready,8.0
560,69,11/13/2025,Ready,6.0
561,31,11/27/2025,Ready,24.0
562,59,11/26/2025,Ready,7.0
563,68,11/23/2025,Cancelled,4.0
564,54,12/1/2025,Ready,4.0
565,73,11/18/2025,Ready,6.0
566,35,11/29/2025,Ready,33.0
567,69,12/3/2025,Ready,8.0
568,18,12/3/2025,Ready,14.0
569,3,12/7/2025,Ready,15.0
570,45,11/26/2025,Cancelled,23.0
571,60,11/26/2025,Ready,12.0
572,72,11/21/2025,Ready,8.0
573,52,11/29/2025,Ready,8.0
574,48,11/20/2025,Ready,18.0
575,43,11/12/2025,Ready,4.0
576,10,11/22/2025,Ready,7.0
577,16,11/15/2025,Cancelled,7.0
578,74,12/3/2025,Ready,20.0
579,34,12/4/2025,Ready,6.0
580,76,11/21/2025,Cancelled,8.0
581,67,12/4/2025,Cancelled,7.0
582,73,11/27/2025,Cancelled,5.0
583,94,11/18/2025,Ready,5.0
584,51,11/16/2025,Cancelled,21.0
585,88,12/4/2025,Ready,5.0
586,89,12/7/2025,Ready,5.0
587,75,11/30/2025,Ready,9.0
588,75,11/18/2025,Ready,8.0
589,38,11/25/2025,Cancelled,5.0
590,82,11/19/2025,Ready,10.0
591,19,12/10/2025,Ready,35.0
592,89,11/16/2025,Ready,12.0
593,13,11/21/2025,Ready,21.0
594,90,11/24/2025,Ready,4.0
595,38,11/17/2025,Ready,13.0
596,78,12/6/2025,Ready,8.0
597,92,12/1/2025,Ready,5.0
598,46,11/28/2025,Ready,6.0
599,71,12/10/2025,Ready,15.0
600,27,11/25/2025,Cancelled,7.0
601,32,11/20/2025,Ready,4.0
602,99,12/4/2025,Cancelled,5.0
603,55,11/30/2025,Ready,22.0
604,86,11/12/2025,Cancelled,6.0
605,95,11/25/2025,Ready,10.0
606,59,12/3/2025,Ready,9.0
607,45,11/28/2025,Ready,4.0
608,62,11/22/2025,Ready,9.0
609,97,11/16/2025,Cancelled,6.0
610,32,12/1/2025,Ready,4.0
611,71,12/1/2025,Ready,5.0
612,48,11/12/2025,Ready,15.0
613,37,12/6/2025,Ready,15.0
614,96,11/18/2025,Ready,15.0
615,72,11/12/2025,Cancelled,6.0
616,11,11/14/2025,Cancelled,23.0
617,26,11/30/2025,Cancelled,5.0
618,18,11/24/2025,Ready,5.0
619,22,11/30/2025,Ready,7.0
620,10,11/20/2025,Cancelled,4.0
621,84,11/15/2025,Ready,8.0
622,23,11/22/2025,Ready,7.0
623,92,11/18/2025,Ready,6.0
624,64,11/13/2025,Ready,7.0
625,91,11/27/2025,Ready,14.0
626,81,12/1/2025,Cancelled,30.0
627,40,11/13/2025,Ready,5.0
628,92,11/26/2025,Ready,8.0
629,66,11/18/2025,Ready,4.0
630,45,11/15/2025,Ready,4.0
631,41,11/26/2025,Cancelled,8.0
632,31,11/11/2025,Ready,8.0
633,79,11/23/2025,Ready,10.0
634,7,12/5/2025,Ready,6.0
635,99,12/9/2025,Cancelled,8.0
636,61,11/11/2025,Cancelled,35.0
637,27,11/16/2025,Cancelled,7.0
638,47,11/27/2025,Ready,4.0
639,10,11/27/2025,Ready,4.0
640,30,11/13/2025,Ready,6.0
641,82,11/13/2025,Ready,7.0
642,86,11/15/2025,Ready,11.0
643,60,11/25/2025,Cancelled,4.0
644,5,11/29/2025,Ready,5.0
645,35,11/20/2025,Ready,26.0
646,99,12/3/2025,Ready,7.0
647,71,11/11/2025,Ready,5.0
648,23,11/25/2025,Ready,8.0
649,31,12/7/2025,Ready,5.0
650,74,11/14/2025,Cancelled,26.0
651,44,11/28/2025,Ready,5.0
652,70,11/15/2025,Ready,11.0
653,98,11/20/2025,Ready,20.0
654,26,11/26/2025,Cancelled,4.0
655,20,11/15/2025,Ready,5.0
656,62,11/24/2025,Ready,4.0
657,74,12/3/2025,Ready,7.0
658,9,11/23/2025,Ready,26.0
659,36,11/24/2025,Cancelled,7.0
660,3,11/12/2025,Ready,6.0
661,59,11/20/2025,Cancelled,25.0
662,44,12/8/2025,Ready,11.0
663,90,12/4/2025,Ready,5.0
664,87,11/29/2025,Ready,17.0
665,2,11/23/2025,Ready,6.0
666,28,11/21/2025,Ready,11.0
667,65,11/15/2025,Ready,8.0
668,5,12/9/2025,Ready,12.0
669,20,11/24/2025,Ready,19.0
670,29,11/30/2025,Ready,4.0
671,72,11/14/2025,Cancelled,15.0
672,63,12/8/2025,Ready,5.0
673,80,11/29/2025,Cancelled,10.0
674,3,11/22/2025,Ready,6.0
675,16,11/30/2025,Ready,30.0
676,7,11/30/2025,Ready,4.0
677,13,11/28/2025,Ready,8.0
678,44,12/2/2025,Ready,22.0
679,85,12/4/2025,Ready,4.0
680,56,11/12/2025,Ready,13.0
681,35,12/4/2025,Ready,16.0
682,63,12/10/2025,Ready,5.0
683,67,11/21/2025,Cancelled,4.0
684,94,12/6/2025,Ready,31.0
685,58,11/28/2025,Cancelled,4.0
686,6,12/8/2025,Ready,11.0
687,28,11/20/2025,Cancelled,6.0
688,30,11/17/2025,Ready,8.0
689,83,12/1/2025,Ready,12.0
690,85,11/28/2025,Cancelled,4.0
691,77,11/26/2025,Cancelled,9.0
692,58,12/8/2025,Cancelled,4.0
693,36,11/29/2025,Ready,9.0
694,68,11/20/2025,Cancelled,8.0
695,50,12/9/2025,Ready,6.0
696,59,12/6/2025,Ready,4.0
697,31,12/9/2025,Ready,6.0
698,37,11/30/2025,Ready,15.0
699,96,12/7/2025,Ready,7.0
700,51,11/21/2025,Ready,11.0
701,82,11/16/2025,Ready,6.0
702,39,11/14/2025,Ready,9.0
703,95,11/26/2025,Ready,8.0
704,19,12/2/2025,Ready,30.0
705,90,11/22/2025,Ready,9.0
706,54,11/19/2025,Ready,4.0
707,40,11/28/2025,Ready,14.0
708,21,11/26/2025,Cancelled,13.0
709,77,12/8/2025,Ready,7.0
710,95,12/3/2025,Ready,7.0
711,31,11/28/2025,Cancelled,6.0
712,46,11/17/2025,Ready,24.0
713,53,12/9/2025,Ready,7.0
714,30,11/25/2025,Ready,12.0
715,50,12/7/2025,Ready,14.0
716,40,11/20/2025,Ready,9.0
717,17,12/5/2025,Cancelled,5.0
718,52,11/23/2025,Ready,7.0
719,69,11/14/2025,Ready,4.0
