log_id,ingredient_id,shift_id,change date,change type,quantity changed
93,51,120,11/13/2025,Usage,1.6
94,86,747,12/3/2025,Waste,3.36
95,91,945,11/16/2025,Usage,1.0
96,58,392,12/7/2025,Waste,3.29
97,80,440,11/27/2025,Usage,3.18
98,56,279,11/28/2025,Purchase,4.19
99,15,580,11/15/2025,Usage,0.13
100,106,472,11/17/2025,Waste,4.35
101,42,541,12/6/2025,Usage,0.25
102,68,927,12/3/2025,Usage,1.28
103,30,373,12/7/2025,Usage,0.29
104,13,127,11/13/2025,Usage,0.94
105,101,284,12/3/2025,Usage,1.0
106,108,297,11/12/2025,Usage,4.67
107,15,607,11/11/2025,Usage,0.69
108,82,924,11/19/2025,Usage,3.7
109,7,917,11/21/2025,Usage,1.61
110,70,622,11/18/2025,Purchase,7.81
111,108,678,12/4/2025,Usage,1.19
112,39,83,11/25/2025,Usage,1.96
113,104,858,11/25/2025,Purchase,4.0
114,22,623,11/27/2025,Usage,0.71
115,67,837,11/13/2025,Purchase,6.21
116,36,558,11/14/2025,Usage,0.85
117,18,373,11/26/2025,Usage,0.99
118,48,782,11/12/2025,Waste,4.55
119,42,272,12/5/2025,Usage,1.48
120,70,752,11/28/2025,Usage,7.42
121,102,286,11/11/2025,Usage,4.0
122,72,290,11/22/2025,Usage,3.41
123,114,278,12/3/2025,Waste,0.91
124,67,591,11/23/2025,Purchase,6.05
125,62,244,12/8/2025,Usage,0.66
126,96,671,11/14/2025,Usage,5.0
127,114,871,12/4/2025,Waste,3.22
128,69,759,11/27/2025,Purchase,1.78
129,88,60,12/10/2025,Purchase,6.0
130,81,554,11/26/2025,Purchase,7.0
131,73,531,11/30/2025,Waste,2.45
132,50,921,12/10/2025,Usage,2.28
133,73,434,12/6/2025,Usage,2.7
134,25,323,11/19/2025,Waste,1.87
135,79,304,11/11/2025,Usage,3.92
136,94,364,11/28/2025,Waste,7.0
137,46,277,12/7/2025,Usage,2.04
138,75,721,11/26/2025,Usage,6.93
139,96,461,11/22/2025,Usage,9.0
140,72,954,11/13/2025,Usage,5.39
141,62,37,11/30/2025,Purchase,3.82
142,35,978,11/13/2025,Purchase,1.58
143,19,463,12/8/2025,Usage,0.49
144,67,826,12/7/2025,Purchase,4.7
145,71,986,12/6/2025,Purchase,4.04
146,73,232,12/4/2025,Purchase,5.41
147,112,23,11/18/2025,Usage,3.99
148,73,425,11/20/2025,Usage,1.65
149,83,40,11/18/2025,Usage,4.69
150,95,390,11/23/2025,Usage,1.0
151,88,434,11/14/2025,Usage,7.0
152,42,738,11/15/2025,Usage,0.17
153,86,677,11/18/2025,Usage,5.22
154,99,143,12/7/2025,Usage,10.0
155,56,690,11/22/2025,Usage,3.05
156,81,209,11/15/2025,Usage,3.25
157,58,711,11/21/2025,Usage,2.13
158,83,677,12/8/2025,Usage,3.75
159,99,399,11/22/2025,Purchase,1.0
160,94,444,11/20/2025,Usage,5.0
161,74,595,11/15/2025,Usage,2.56
162,84,617,12/8/2025,Usage,5.16
163,97,534,11/17/2025,Usage,8.0
164,112,804,11/28/2025,Usage,4.45
165,100,332,12/6/2025,Waste,6.0
166,109,884,11/14/2025,Purchase,0.8
167,38,481,11/29/2025,Usage,0.49
168,43,990,11/29/2025,Usage,1.86
169,19,624,11/23/2025,Usage,0.8
170,30,594,11/28/2025,Usage,1.43
171,51,254,11/22/2025,Usage,2.88
172,40,36,11/30/2025,Usage,0.38
173,109,340,12/1/2025,Usage,1.31
174,76,863,11/28/2025,Usage,4.7
175,70,930,11/30/2025,Purchase,6.06
176,116,161,11/23/2025,Usage,3.95
177,52,95,12/1/2025,Usage,2.9
178,12,519,11/28/2025,Usage,0.13
179,112,497,11/16/2025,Usage,2.37
180,62,927,11/13/2025,Purchase,2.73
181,50,109,12/6/2025,Usage,2.68
182,72,297,12/10/2025,Usage,1.45
183,24,252,12/1/2025,Usage,0.91
184,1,509,12/8/2025,Waste,0.73
185,114,841,11/15/2025,Purchase,3.94
186,93,910,11/12/2025,Purchase,1.0
187,15,109,11/23/2025,Usage,0.56
188,103,380,12/8/2025,Purchase,4.0
189,12,262,11/12/2025,Usage,0.36
190,76,958,11/27/2025,Usage,4.15
191,5,578,11/13/2025,Usage,2.72
192,31,347,11/20/2025,Usage,0.86
193,51,506,11/30/2025,Usage,1.95
194,30,613,11/23/2025,Purchase,1.9
195,88,663,11/20/2025,Usage,6.0
196,61,665,11/29/2025,Usage,3.57
197,23,197,11/13/2025,Purchase,0.56
198,82,332,11/12/2025,Waste,7.38
199,72,524,11/19/2025,Usage,6.78
200,13,169,11/22/2025,Usage,0.57
201,77,511,11/25/2025,Usage,3.0
202,41,229,11/23/2025,Usage,1.22
203,67,663,11/22/2025,Usage,4.04
204,98,52,11/12/2025,Usage,8.0
205,32,286,11/28/2025,Usage,1.91
206,18,425,11/29/2025,Usage,0.88
207,114,537,12/6/2025,Usage,0.88
208,68,336,12/1/2025,Usage,0.98
209,63,17,12/3/2025,Usage,4.32
210,109,614,11/28/2025,Usage,3.65
211,38,564,12/4/2025,Purchase,0.79
212,34,558,11/12/2025,Usage,1.29
213,96,512,11/14/2025,Waste,2.0
214,14,877,11/30/2025,Usage,0.78
215,74,867,11/26/2025,Waste,7.75
216,22,267,11/20/2025,Usage,0.37
217,48,278,12/1/2025,Usage,4.29
218,106,476,11/28/2025,Purchase,2.32
219,1,539,11/13/2025,Usage,2.08
220,46,250,11/24/2025,Waste,1.54
221,78,785,11/24/2025,Waste,5.03
222,116,403,11/28/2025,Usage,3.36
223,87,702,11/29/2025,Usage,3.0
224,93,363,11/29/2025,Purchase,4.0
225,82,995,11/18/2025,Usage,5.13
226,57,252,12/4/2025,Usage,3.37
227,27,163,11/30/2025,Usage,0.8
228,29,789,12/9/2025,Usage,0.58
229,107,648,12/7/2025,Usage,4.52
230,41,73,11/13/2025,Usage,1.36
231,83,171,11/12/2025,Usage,3.3
232,26,124,11/16/2025,Usage,0.53
233,56,359,12/7/2025,Waste,4.06
234,98,230,11/23/2025,Waste,2.0
235,37,683,11/24/2025,Usage,0.96
236,7,128,11/12/2025,Usage,2.91
237,4,758,12/8/2025,Usage,2.04
238,80,225,12/1/2025,Usage,1.91
239,65,515,11/23/2025,Usage,1.94
240,97,286,12/9/2025,Purchase,9.0
241,26,626,11/21/2025,Purchase,1.42
242,26,464,11/28/2025,Usage,1.14
243,89,656,12/10/2025,Usage,4.0
244,73,344,11/19/2025,Usage,3.28
245,75,530,12/5/2025,Waste,4.29
246,44,561,11/15/2025,Usage,0.33
247,67,405,11/15/2025,Waste,3.86
248,90,833,11/25/2025,Usage,1.0
249,79,996,11/19/2025,Usage,2.17
250,84,389,11/12/2025,Usage,5.9
251,66,960,11/14/2025,Usage,1.05
252,97,325,11/29/2025,Usage,2.0
253,67,399,11/13/2025,Purchase,5.05
254,67,782,11/12/2025,Usage,2.06
255,29,983,11/12/2025,Usage,1.4
256,31,934,11/30/2025,Usage,0.72
257,91,341,11/29/2025,Purchase,6.0
258,111,966,11/25/2025,Waste,1.08
259,3,312,11/18/2025,Usage,2.34
260,82,341,12/9/2025,Usage,2.87
261,109,692,11/19/2025,Purchase,3.62
262,34,459,11/15/2025,Usage,1.81
263,19,494,11/17/2025,Waste,0.9
264,115,599,12/4/2025,Usage,0.86
265,115,25,11/24/2025,Purchase,2.71
266,23,5,12/3/2025,Usage,0.44
267,68,891,11/15/2025,Waste,4.97
268,14,59,12/6/2025,Waste,0.99
269,88,214,11/27/2025,Purchase,4.0
270,31,331,12/8/2025,Usage,1.75
271,52,470,11/12/2025,Usage,2.94
272,14,158,11/20/2025,Usage,0.77
273,16,13,11/22/2025,Purchase,0.16
274,11,5,12/4/2025,Usage,0.5
275,104,236,12/6/2025,Usage,10.0
276,115,862,11/29/2025,Usage,2.63
277,68,940,12/10/2025,Usage,3.36
278,69,609,11/12/2025,Usage,1.8
279,63,180,12/2/2025,Usage,4.85
280,51,269,11/13/2025,Purchase,3.37
281,14,647,12/9/2025,Usage,0.78
282,41,750,11/26/2025,Usage,0.24
283,9,647,11/13/2025,Purchase,0.65
284,54,493,11/29/2025,Usage,1.76
285,96,550,11/11/2025,Usage,4.0
286,74,292,11/22/2025,Purchase,2.76
287,12,607,11/30/2025,Waste,0.26
288,16,133,11/12/2025,Usage,0.82
289,61,830,12/2/2025,Usage,2.64
290,32,513,12/8/2025,Purchase,1.18
291,13,515,11/18/2025,Waste,0.95
292,19,521,11/18/2025,Purchase,0.71
293,57,684,12/7/2025,Usage,1.19
294,89,430,11/21/2025,Usage,5.0
295,86,815,12/8/2025,Usage,6.57
296,100,351,12/9/2025,Usage,3.0
297,20,205,12/10/2025,Usage,0.16
298,85,690,12/7/2025,Usage,0.87
299,24,720,12/7/2025,Purchase,0.3
300,60,347,11/13/2025,Usage,3.9
301,56,996,12/8/2025,Usage,1.91
302,35,719,11/15/2025,Usage,0.26
303,36,849,11/12/2025,Usage,1.82
304,104,700,11/15/2025,Purchase,3.0
305,10,261,11/15/2025,Usage,0.67
306,99,228,11/20/2025,Usage,7.0
307,66,557,11/29/2025,Usage,4.49
308,73,744,11/25/2025,Usage,1.13
309,102,251,12/2/2025,Usage,2.0
310,105,577,11/22/2025,Usage,4.02
311,90,452,11/20/2025,Usage,1.0
312,42,331,12/7/2025,Usage,1.03
313,111,768,11/15/2025,Usage,2.03
314,72,396,11/21/2025,Usage,3.72
315,31,318,11/13/2025,Usage,1.12
316,51,117,11/26/2025,Usage,1.3
317,21,854,11/17/2025,Usage,0.55
318,15,860,12/3/2025,Waste,0.42
319,14,570,12/5/2025,Usage,0.23
320,62,973,11/13/2025,Usage,4.1
321,51,758,11/28/2025,Usage,1.46
322,8,860,11/15/2025,Usage,2.2
323,2,673,11/26/2025,Usage,1.7
324,35,408,11/13/2025,Usage,0.95
325,110,150,11/22/2025,Usage,1.31
326,104,894,12/6/2025,Waste,10.0
327,7,698,11/27/2025,Usage,0.58
328,4,249,11/23/2025,Usage,0.87
329,40,795,11/21/2025,Waste,0.9
330,71,200,11/20/2025,Usage,0.66
331,45,361,11/23/2025,Purchase,1.34
332,98,591,11/28/2025,Purchase,4.0
333,32,226,11/21/2025,Purchase,0.37
334,61,504,11/30/2025,Usage,3.62
335,19,193,11/21/2025,Purchase,0.89
336,44,16,11/26/2025,Purchase,1.89
337,113,399,11/14/2025,Purchase,2.03
338,2,811,11/19/2025,Usage,0.68
339,48,414,11/16/2025,Usage,4.92
340,99,85,11/13/2025,Usage,2.0
341,26,678,11/14/2025,Purchase,1.99
342,58,988,11/13/2025,Usage,1.83
343,53,518,12/3/2025,Usage,3.52
344,101,68,12/3/2025,Usage,3.0
345,97,398,11/30/2025,Usage,7.0
346,95,392,12/8/2025,Usage,8.0
347,60,812,11/29/2025,Purchase,4.3
348,5,908,11/19/2025,Usage,1.14
349,85,773,11/15/2025,Purchase,7.56
350,112,450,11/24/2025,Usage,1.42
351,79,861,11/19/2025,Usage,4.59
352,20,361,11/16/2025,Usage,0.07
353,110,335,12/5/2025,Purchase,1.78
354,38,339,11/13/2025,Usage,1.41
355,19,335,12/5/2025,Usage,0.65
356,88,159,11/15/2025,Usage,5.0
357,65,937,11/18/2025,Usage,3.4
358,6,804,12/9/2025,Usage,1.85
359,4,441,11/20/2025,Usage,0.31
360,14,820,12/5/2025,Usage,0.4
361,4,672,12/7/2025,Purchase,0.28
362,16,261,12/8/2025,Usage,0.74
363,11,707,12/1/2025,Usage,0.58
364,48,9,12/1/2025,Usage,2.34
365,91,187,11/27/2025,Purchase,3.0
366,2,418,11/20/2025,Usage,1.3
367,37,783,11/29/2025,Usage,0.87
368,3,9,11/12/2025,Usage,2.18
369,10,157,11/29/2025,Usage,0.82
370,94,659,11/14/2025,Usage,8.0
371,55,457,11/27/2025,Usage,4.14
372,97,459,12/4/2025,Purchase,8.0
373,67,518,11/28/2025,Usage,1.08
374,52,906,11/14/2025,Waste,4.46
375,9,37,11/19/2025,Usage,0.54
376,66,372,12/5/2025,Purchase,0.92
377,81,636,11/22/2025,Usage,2.32
378,107,420,12/9/2025,Usage,2.71
379,106,585,11/21/2025,Usage,3.77
380,34,258,11/13/2025,Usage,0.6
381,101,196,11/29/2025,Usage,7.0
382,101,985,11/22/2025,Purchase,7.0
383,2,336,11/18/2025,Usage,1.9
384,19,856,11/25/2025,Usage,0.34
385,89,945,11/18/2025,Usage,2.0
386,63,620,11/14/2025,Waste,2.05
387,113,836,12/5/2025,Usage,2.38
388,26,355,12/5/2025,Usage,1.51
389,93,392,12/2/2025,Usage,8.0
390,13,957,11/16/2025,Usage,0.7
391,63,405,11/23/2025,Purchase,2.77
392,5,678,11/15/2025,Usage,1.8
393,92,874,11/20/2025,Usage,3.0
394,49,425,11/16/2025,Usage,2.15
395,71,756,12/6/2025,Purchase,1.5
396,36,40,11/14/2025,Waste,1.07
397,76,526,11/25/2025,Usage,4.63
398,57,254,11/22/2025,Usage,0.66
399,38,791,11/26/2025,Usage,2.0
400,48,374,12/8/2025,Purchase,4.76
401,31,351,11/17/2025,Purchase,1.51
402,3,346,11/21/2025,Usage,2.02
403,99,417,12/2/2025,Usage,2.0
404,72,20,11/12/2025,Usage,6.18
405,34,595,12/3/2025,Usage,1.26
406,71,116,11/21/2025,Usage,6.83
407,60,790,12/2/2025,Purchase,3.97
408,83,597,12/3/2025,Usage,1.73
409,34,771,12/8/2025,Usage,0.84
410,21,531,12/2/2025,Usage,0.59
411,13,733,11/26/2025,Usage,0.29
412,49,171,12/3/2025,Waste,2.53
413,102,304,11/26/2025,Usage,4.0
414,53,147,11/14/2025,Waste,4.87
415,110,587,11/15/2025,Usage,2.75
416,44,316,11/22/2025,Usage,0.3
417,58,449,11/16/2025,Usage,3.96
418,32,659,12/7/2025,Usage,1.92
419,111,922,11/21/2025,Purchase,1.07
420,19,943,11/22/2025,Usage,0.09
421,14,459,11/30/2025,Purchase,0.58
422,77,639,11/20/2025,Usage,4.73
423,47,880,11/24/2025,Usage,2.57
424,62,543,11/22/2025,Usage,4.37
425,114,448,11/24/2025,Usage,4.67
426,80,107,11/15/2025,Usage,0.98
427,93,822,11/25/2025,Usage,9.0
428,19,113,12/6/2025,Waste,0.14
429,63,52,12/4/2025,Purchase,0.54
430,21,488,11/18/2025,Usage,0.76
431,41,208,11/21/2025,Usage,0.39
432,66,534,12/3/2025,Usage,1.52
433,39,403,11/17/2025,Usage,0.39
434,26,608,11/22/2025,Waste,1.38
435,8,854,12/1/2025,Usage,1.24
436,42,440,11/22/2025,Usage,1.14
437,57,580,11/21/2025,Usage,0.98
438,24,347,11/13/2025,Usage,0.83
439,47,777,12/2/2025,Usage,1.33
440,105,666,11/20/2025,Usage,1.11
441,15,46,11/13/2025,Usage,0.54
442,62,794,11/18/2025,Usage,4.89
443,88,810,12/4/2025,Usage,5.0
444,91,236,12/6/2025,Usage,6.0
445,86,806,11/21/2025,Usage,5.2
446,104,210,11/19/2025,Usage,3.0
447,25,359,12/9/2025,Usage,1.22
448,30,723,11/29/2025,Usage,0.17
449,49,737,11/26/2025,Usage,1.32
450,55,676,12/2/2025,Usage,0.9
451,47,284,11/23/2025,Purchase,1.98
452,102,61,11/17/2025,Waste,6.0
453,44,991,11/17/2025,Purchase,1.62
454,77,593,11/13/2025,Usage,4.57
455,63,711,11/12/2025,Waste,3.66
456,66,69,11/16/2025,Usage,4.97
457,58,424,11/21/2025,Usage,1.19
458,114,420,11/12/2025,Waste,3.65
459,13,510,12/10/2025,Usage,0.44
460,42,71,12/4/2025,Usage,0.66
461,44,867,11/27/2025,Purchase,1.86
462,108,499,12/5/2025,Usage,3.78
463,26,855,12/6/2025,Usage,0.2
464,101,752,11/22/2025,Usage,7.0
465,35,366,11/17/2025,Usage,1.25
466,79,359,11/29/2025,Purchase,2.08
467,72,794,11/26/2025,Usage,3.85
468,110,754,11/28/2025,Usage,2.31
469,116,48,11/18/2025,Usage,2.86
470,59,805,11/24/2025,Usage,4.95
471,40,531,12/3/2025,Waste,1.73
472,49,573,12/8/2025,Usage,2.02
473,67,450,12/10/2025,Waste,6.0
474,112,965,11/27/2025,Usage,2.66
475,24,645,11/27/2025,Usage,0.91
476,57,783,11/22/2025,Usage,0.71
477,99,602,11/23/2025,Usage,4.0
478,75,836,11/27/2025,Usage,2.69
479,20,367,12/4/2025,Usage,0.96
480,41,950,11/24/2025,Usage,1.43
481,22,43,11/25/2025,Usage,0.42
482,52,750,12/1/2025,Usage,3.75
483,56,937,11/25/2025,Usage,1.51
484,75,462,11/27/2025,Usage,2.06
485,105,529,11/12/2025,Usage,0.62
486,74,841,11/15/2025,Usage,5.4
487,74,22,11/25/2025,Waste,7.94
488,114,448,11/29/2025,Usage,1.08
489,88,703,12/2/2025,Purchase,8.0
490,79,868,11/19/2025,Usage,1.77
491,58,995,11/29/2025,Usage,4.65
492,95,323,11/28/2025,Purchase,8.0
493,47,620,11/27/2025,Usage,2.95
494,25,208,11/28/2025,Usage,1.15
495,57,426,11/13/2025,Usage,1.27
496,29,448,12/2/2025,Usage,1.37
497,65,329,12/4/2025,Usage,1.37
498,101,514,11/19/2025,Usage,6.0
499,112,727,11/24/2025,Purchase,2.86
500,111,918,11/16/2025,Usage,1.26
501,96,800,11/24/2025,Usage,2.0
502,56,660,12/1/2025,Purchase,0.6
503,85,732,12/1/2025,Purchase,7.76
504,54,695,12/5/2025,Usage,1.53
505,97,280,11/30/2025,Purchase,6.0
506,103,284,11/12/2025,Usage,2.0
507,47,737,12/6/2025,Purchase,2.88
508,44,494,11/20/2025,Usage,0.42
509,37,282,12/7/2025,Usage,1.33
510,71,515,12/7/2025,Usage,5.19
511,38,264,12/2/2025,Usage,0.25
512,20,455,12/9/2025,Purchase,0.54
513,80,683,11/22/2025,Purchase,4.2
514,20,673,11/11/2025,Usage,0.57
515,97,621,11/26/2025,Usage,5.0
516,99,508,12/8/2025,Usage,6.0
517,15,805,12/5/2025,Usage,0.48
518,93,650,12/2/2025,Usage,5.0
519,84,452,12/2/2025,Purchase,6.88
520,23,189,11/26/2025,Usage,0.29
521,5,114,11/22/2025,Usage,1.81
522,12,16,12/1/2025,Usage,0.41
523,69,391,12/3/2025,Purchase,2.87
524,90,971,11/19/2025,Usage,6.0
525,101,746,11/17/2025,Usage,2.0
526,111,629,11/23/2025,Purchase,2.44
527,62,132,11/15/2025,Usage,4.01
528,116,5,12/8/2025,Usage,1.41
529,28,979,11/18/2025,Usage,0.19
530,77,206,12/6/2025,Usage,1.95
531,101,181,11/30/2025,Usage,2.0
532,79,646,12/8/2025,Usage,4.64
533,48,921,12/2/2025,Usage,1.0
534,31,284,12/7/2025,Usage,1.62
535,57,664,11/29/2025,Purchase,2.95
536,40,193,11/30/2025,Purchase,0.72
537,94,150,11/15/2025,Usage,6.0
538,3,4,12/7/2025,Waste,0.8
539,47,794,11/15/2025,Waste,1.53
540,31,536,12/2/2025,Usage,1.78
541,37,1000,12/10/2025,Usage,0.57
542,107,673,12/7/2025,Usage,3.38
543,69,416,11/29/2025,Usage,2.85
544,60,899,11/16/2025,Usage,2.28
545,83,189,11/26/2025,Usage,4.86
546,73,656,11/23/2025,Usage,3.58
547,115,207,11/22/2025,Usage,2.25
548,31,413,11/16/2025,Usage,0.52
549,77,344,12/10/2025,Purchase,5.07
550,6,192,11/17/2025,Waste,2.63
551,70,750,12/10/2025,Usage,5.58
552,17,238,11/27/2025,Usage,0.38
553,73,643,12/5/2025,Usage,6.2
554,61,794,12/1/2025,Usage,3.38
555,109,410,11/15/2025,Usage,3.8
556,82,96,12/4/2025,Purchase,5.02
557,81,799,11/29/2025,Purchase,4.66
558,15,372,11/28/2025,Usage,0.87
559,44,415,11/29/2025,Usage,1.17
560,95,297,12/1/2025,Usage,4.0
561,15,900,11/12/2025,Usage,0.33
562,96,175,11/12/2025,Purchase,3.0
563,104,318,12/9/2025,Usage,9.0
564,54,468,11/27/2025,Usage,1.02
565,95,219,11/12/2025,Usage,3.0
566,11,865,11/22/2025,Waste,0.93
567,39,133,11/30/2025,Usage,0.86
568,41,306,11/30/2025,Purchase,0.97
569,89,20,11/25/2025,Purchase,4.0
570,3,90,12/9/2025,Usage,1.81
571,28,761,12/1/2025,Usage,0.54
572,17,572,11/26/2025,Usage,0.73
573,78,526,12/5/2025,Purchase,1.93
574,75,693,11/24/2025,Usage,6.15
575,108,822,11/27/2025,Usage,3.59
576,41,53,11/27/2025,Purchase,1.18
577,87,618,11/17/2025,Usage,5.0
578,29,735,12/6/2025,Purchase,0.4
579,11,232,11/24/2025,Usage,0.46
580,70,97,11/28/2025,Usage,2.62
581,15,328,11/24/2025,Usage,0.33
582,100,755,11/19/2025,Usage,3.0
583,102,174,11/26/2025,Usage,1.0
584,60,360,11/29/2025,Usage,1.36
585,76,817,11/14/2025,Waste,7.22
586,95,582,11/14/2025,Usage,1.0
587,60,907,12/7/2025,Usage,4.97
588,8,462,11/29/2025,Usage,0.88
589,108,991,11/11/2025,Usage,4.51
590,58,679,12/4/2025,Waste,2.11
591,46,203,12/2/2025,Usage,4.49
592,44,182,11/16/2025,Purchase,0.51
593,25,643,11/24/2025,Usage,1.62
594,17,432,11/27/2025,Purchase,0.66
595,60,758,12/3/2025,Usage,1.87
596,64,953,11/11/2025,Usage,1.52
597,53,336,11/30/2025,Purchase,3.61
598,48,72,11/27/2025,Purchase,1.91
599,7,641,12/4/2025,Usage,0.78
600,90,301,11/21/2025,Usage,3.0
601,38,177,11/18/2025,Purchase,0.77
602,69,91,12/9/2025,Usage,5.6
603,70,738,12/4/2025,Usage,4.91
604,26,64,12/5/2025,Usage,1.61
605,61,292,12/4/2025,Usage,4.35
606,59,650,11/13/2025,Purchase,2.88
607,92,105,11/30/2025,Purchase,6.0
608,76,490,12/3/2025,Usage,6.08
609,44,793,12/10/2025,Waste,1.31
610,4,951,11/20/2025,Usage,0.85
611,69,565,12/5/2025,Usage,5.67
612,42,700,11/21/2025,Usage,0.96
613,95,261,12/7/2025,Waste,1.0
614,59,494,11/12/2025,Usage,0.98
615,101,211,11/17/2025,Usage,8.0
616,104,483,11/11/2025,Usage,5.0
617,97,60,11/28/2025,Usage,6.0
618,29,10,11/20/2025,Usage,0.48
619,101,323,11/24/2025,Usage,1.0
620,43,998,11/22/2025,Usage,0.23
621,79,458,11/21/2025,Usage,4.13
622,102,261,11/17/2025,Usage,4.0
623,19,758,11/18/2025,Usage,0.56
624,64,727,11/20/2025,Usage,0.54
625,63,988,11/11/2025,Usage,1.75
626,76,345,12/7/2025,Usage,5.43
627,16,777,11/20/2025,Usage,0.61
628,102,39,12/5/2025,Usage,4.0
629,115,887,11/30/2025,Usage,2.65
630,24,578,11/17/2025,Purchase,0.1
631,6,36,11/28/2025,Usage,2.86
632,107,561,11/17/2025,Usage,2.65
633,38,301,11/14/2025,Usage,0.28
634,42,317,11/18/2025,Usage,1.8
635,34,122,11/25/2025,Usage,1.82
636,24,454,11/22/2025,Purchase,0.33
637,36,340,12/5/2025,Usage,1.87
638,8,46,12/1/2025,Purchase,2.96
639,108,962,11/19/2025,Usage,2.93
640,111,970,11/17/2025,Usage,1.37
641,10,74,12/9/2025,Purchase,0.08
642,92,50,11/11/2025,Usage,6.0
643,39,819,12/6/2025,Waste,1.91
644,27,622,11/27/2025,Usage,0.24
645,47,842,11/28/2025,Usage,4.77
646,67,303,11/28/2025,Usage,0.84
647,53,817,11/16/2025,Waste,4.12
648,5,529,12/9/2025,Usage,2.51
649,82,613,11/24/2025,Purchase,4.97
650,60,857,12/2/2025,Waste,2.61
651,66,432,11/24/2025,Usage,0.77
652,1,804,12/6/2025,Purchase,0.97
653,115,656,11/19/2025,Usage,2.64
654,38,825,11/27/2025,Usage,0.63
655,66,576,11/25/2025,Usage,1.45
656,7,962,12/3/2025,Usage,2.42
657,37,662,12/8/2025,Usage,0.72
658,17,829,11/12/2025,Usage,0.6
