order_detail_id,order_id,menu_item_id,quantity,unit_price
138,332,27,5,6.16
139,877,78,5,15.81
140,479,57,2,7.39
141,923,50,4,10.74
142,436,85,4,15.1
143,326,65,2,14.5
144,223,77,1,15.88
145,132,79,2,14.38
146,393,15,2,2.93
147,335,16,4,4.87
148,39,23,5,7.83
149,990,62,5,13.72
150,116,21,4,5.25
151,205,80,3,14.28
152,35,27,3,4.86
153,641,78,5,14.9
154,981,85,5,16.85
155,525,54,3,7.56
156,463,42,5,7.32
157,902,78,3,17.36
158,198,29,2,4.64
159,51,85,5,17.71
160,572,68,2,15.16
161,799,2,3,3.69
162,312,19,2,4.81
163,50,83,1,17.6
164,851,86,2,15.27
165,613,65,2,10.01
166,412,11,4,3.33
167,893,82,4,21.3
168,117,32,5,6.93
169,39,4,3,3.21
170,243,8,2,4.29
171,748,76,3,10.75
172,290,51,3,9.3
173,57,100,2,23.44
174,990,97,5,19.33
175,125,2,5,4.99
176,930,57,5,11.34
177,870,51,4,7.71
178,901,70,4,10.13
179,725,52,1,9.03
180,344,64,5,16.39
181,185,47,2,6.16
182,538,48,1,7.74
183,577,32,4,5.48
184,516,17,5,4.93
185,166,96,4,16.53
186,563,6,4,4.69
187,76,7,3,5.03
188,135,66,3,12.07
189,769,56,2,10.68
190,334,71,5,13.7
191,768,99,1,19.25
192,921,8,2,2.63
193,944,97,2,16.67
194,832,98,3,15.37
195,236,55,5,6.02
196,474,86,4,20.44
197,887,41,3,10.55
198,403,2,3,5.32
199,801,8,5,4.62
200,343,46,4,10.51
201,469,88,5,17.52
202,952,1,4,2.79
203,78,87,3,15.28
204,704,88,3,21.8
205,630,86,4,23.19
206,715,99,3,20.99
207,30,76,5,11.88
208,837,52,4,6.4
209,91,24,2,5.6
210,822,85,2,18.42
211,59,95,2,20.24
212,459,95,1,20.58
213,94,5,3,5.16
214,977,40,1,5.33
215,491,97,5,17.28
216,401,91,5,16.53
217,970,40,4,5.85
218,906,93,4,20.37
219,533,13,3,5.18
220,998,21,1,4.27
221,151,52,4,11.41
222,374,82,3,17.32
223,215,55,2,8.66
224,329,69,4,11.8
225,600,82,2,17.65
226,736,86,5,18.85
227,663,16,2,4.49
228,21,94,5,24.1
229,569,23,3,7.85
230,711,86,1,17.43
231,156,16,2,4.76
232,525,14,2,2.89
233,905,24,4,7.34
234,774,85,4,23.41
235,592,9,3,2.75
236,556,53,5,11.95
237,611,8,4,5.43
238,532,81,5,20.83
239,330,89,2,18.87
240,891,28,3,7.81
241,579,67,3,11.82
242,49,32,5,4.12
243,240,75,4,13.49
244,553,45,2,6.65
245,436,99,5,22.5
246,48,53,1,11.5
247,802,44,4,9.61
248,336,87,1,23.65
249,887,20,2,4.02
250,926,52,4,8.12
251,636,53,4,8.6
252,615,49,2,6.76
253,898,36,5,5.55
254,787,85,2,15.61
255,712,98,1,22.23
256,631,82,2,24.05
257,881,100,1,17.21
258,927,42,2,7.25
259,985,65,5,14.66
260,210,44,2,6.69
261,461,71,4,15.07
262,327,23,2,7.63
263,292,58,4,9.22
264,39,86,4,16.11
265,924,75,1,10.92
266,311,77,3,16.72
267,888,52,1,7.29
268,167,53,1,8.88
269,631,83,3,18.68
270,524,15,1,3.24
271,101,72,5,13.36
272,162,77,4,11.73
273,896,52,3,10.9
274,726,40,5,6.71
275,323,31,3,7.56
276,65,31,4,5.31
277,990,50,1,8.66
278,631,15,3,4.9
279,14,98,5,20.48
280,918,13,5,5.32
281,217,14,5,2.9
282,387,76,4,15.09
283,322,50,4,11.26
284,610,90,3,18.64
285,981,31,2,5.72
286,533,56,2,6.44
287,329,81,5,21.85
288,36,28,2,6.12
289,373,29,5,6.65
290,231,43,2,7.77
291,846,40,4,6.3
292,940,3,3,4.17
293,655,31,2,4.96
294,184,70,5,10.78
295,496,78,1,12.78
296,106,63,5,13.72
297,100,81,2,17.78
298,946,15,5,4.98
299,457,90,2,21.49
300,340,14,5,2.94
301,130,69,3,12.11
302,359,74,3,11.46
303,941,56,4,7.42
304,53,17,1,4.64
305,365,40,1,7.52
306,138,5,2,2.98
307,365,75,1,16.35
308,101,57,3,10.73
309,401,14,2,5.18
310,350,41,5,11.59
311,497,84,2,17.64
312,502,95,1,18.68
313,339,92,2,20.75
314,498,90,4,22.31
315,846,97,2,15.01
316,494,6,1,3.66
317,778,62,5,12.12
318,985,85,5,15.91
319,825,45,2,10.06
320,876,35,5,4.85
321,651,73,5,12.2
322,676,23,2,6.85
323,62,89,1,18.03
324,353,75,5,15.43
325,875,74,3,11.36
326,430,47,4,6.55
327,237,69,4,11.18
328,120,54,4,11.05
329,161,11,4,2.97
330,224,59,3,6.02
331,893,42,3,11.11
332,268,34,3,4.31
333,607,56,2,6.33
334,199,76,4,16.09
335,893,53,3,7.26
336,419,82,3,20.48
337,2,22,2,7.59
338,142,1,5,4.29
339,614,15,5,5.48
340,912,77,3,13.6
341,912,34,1,7.58
342,40,49,3,7.44
343,582,67,5,16.44
344,854,94,2,20.91
345,344,89,3,23.2
346,364,74,4,15.21
347,495,26,4,7.99
348,178,43,3,9.02
349,33,29,4,4.37
350,351,98,2,22.66
351,627,48,1,11.95
352,681,12,3,5.29
353,245,89,4,16.5
354,867,13,5,4.26
355,316,30,1,4.27
356,759,76,3,15.58
357,820,13,3,5.0
358,660,33,1,4.5
359,946,44,4,6.32
360,603,45,3,10.63
361,841,27,5,6.57
362,149,61,1,13.29
363,870,43,1,8.45
364,48,41,2,9.57
365,541,57,2,7.19
366,686,36,1,6.3
367,797,99,2,19.28
368,639,44,1,7.71
369,409,52,1,6.14
370,750,77,3,12.84
371,77,61,5,13.54
372,640,40,5,7.75
373,899,10,3,4.48
374,662,78,4,16.74
375,199,99,1,21.5
376,247,4,2,3.48
377,789,88,5,24.75
378,639,19,2,3.81
379,567,4,4,3.53
380,549,81,4,20.63
381,830,42,4,9.21
382,967,11,5,3.08
383,199,71,2,15.01
384,220,16,2,3.33
385,448,26,3,6.48
386,15,62,2,15.58
387,443,82,4,23.23
388,437,38,5,6.55
389,697,21,4,6.36
390,250,35,3,7.74
391,196,73,5,17.71
392,702,68,1,13.7
393,839,62,4,17.35
394,646,98,1,20.84
395,44,68,3,16.93
396,876,77,1,11.07
397,917,65,4,15.01
398,451,3,1,3.13
399,379,64,2,11.69
400,621,33,3,6.59
401,663,98,2,18.93
402,18,78,1,17.45
403,664,89,4,23.19
404,438,22,4,5.98
405,7,51,3,10.46
406,730,42,2,8.04
407,361,23,3,5.22
408,56,3,4,2.79
409,274,97,1,18.37
410,652,91,1,18.46
411,564,72,5,11.88
412,328,42,3,6.33
413,99,72,4,15.88
414,631,95,3,21.74
415,605,90,4,17.09
416,509,46,3,7.41
417,956,76,4,14.38
418,419,52,4,9.51
419,316,84,1,18.82
420,703,42,5,11.07
421,979,32,4,6.36
422,29,81,5,22.09
423,609,35,1,5.15
424,471,87,4,15.09
425,253,78,3,13.35
426,928,3,5,3.58
427,582,10,5,3.04
428,669,34,5,4.53
429,67,61,5,17.97
430,143,72,1,11.95
431,43,44,2,6.96
432,553,78,3,14.75
433,731,92,5,19.18
434,661,85,2,20.6
435,757,77,4,16.08
436,709,48,2,9.39
437,51,90,5,20.3
438,943,100,1,24.25
439,970,70,3,10.54
440,578,29,1,7.33
441,193,66,1,17.26
442,987,12,3,5.32
443,756,53,4,6.65
444,981,67,3,10.01
445,311,90,3,15.04
446,845,66,1,16.35
447,376,10,4,4.06
448,117,57,1,11.58
449,426,63,2,10.23
450,537,92,4,16.5
451,444,2,5,3.46
452,513,44,3,6.01
453,259,97,2,22.75
454,670,31,2,6.78
455,361,34,5,7.71
456,301,87,1,23.22
457,475,1,4,5.02
458,511,16,5,4.28
459,891,62,4,12.78
460,91,41,2,11.17
461,331,36,4,5.91
462,89,34,1,7.23
463,222,1,4,4.63
464,908,3,3,3.61
465,912,89,1,23.13
466,826,63,3,14.85
467,508,14,5,5.37
468,240,15,3,3.89
469,719,55,5,11.79
470,407,20,5,3.49
471,828,52,2,11.14
472,375,61,5,14.16
473,831,26,4,5.43
474,858,45,5,11.77
475,10,80,5,14.88
476,892,40,2,5.22
477,906,49,1,8.44
478,735,76,1,12.12
479,545,95,3,24.06
480,649,53,5,10.84
481,578,88,1,16.56
482,265,90,4,22.57
483,904,35,3,5.95
484,577,9,4,2.53
485,236,84,1,18.18
486,121,6,3,4.38
487,57,26,5,5.39
488,915,65,2,10.73
489,116,13,5,3.8
490,149,96,2,18.62
491,260,46,5,10.46
492,895,92,2,22.64
493,668,63,1,16.59
494,648,26,3,4.63
495,394,84,2,20.64
496,496,60,2,7.23
497,618,18,4,4.15
498,13,36,2,7.07
499,440,90,1,17.09
500,911,64,4,11.61
501,569,33,5,7.89
502,129,9,1,4.05
503,221,31,4,7.73
504,994,74,3,14.59
505,407,4,2,5.15
506,480,60,3,10.07
507,455,20,4,3.03
508,678,5,5,3.98
509,623,100,5,25.0
510,708,67,5,16.86
511,673,96,5,18.98
512,572,58,4,6.31
513,794,84,2,19.56
514,308,79,1,12.09
515,521,97,1,24.66
516,922,66,2,14.77
517,758,67,4,13.6
518,51,66,5,13.64
519,195,42,1,6.79
520,293,78,5,17.02
521,400,18,4,4.73
522,243,56,3,6.15
523,701,15,5,3.42
524,547,86,4,17.93
525,21,79,3,16.49
526,430,46,5,9.86
527,149,90,5,16.63
528,63,23,3,6.13
529,784,83,1,19.27
530,211,60,2,6.61
531,344,17,4,5.15
532,785,22,3,4.31
533,127,37,5,5.32
534,483,38,3,5.24
535,641,80,1,10.43
536,410,70,4,12.26
537,453,29,5,6.43
538,556,49,5,8.55
539,514,37,5,7.29
540,988,77,3,15.6
541,261,100,4,20.09
542,230,97,2,15.67
543,179,37,1,6.53
544,169,50,1,9.3
545,910,37,1,5.45
546,454,77,4,14.15
547,443,82,4,15.01
548,866,30,4,4.48
549,217,28,4,4.43
550,567,6,1,5.39
551,644,8,5,3.74
552,17,58,3,6.3
553,202,56,2,8.24
554,621,80,3,17.6
555,996,60,4,11.67
556,198,8,3,5.31
557,466,59,4,8.58
558,1000,99,1,24.98
559,450,42,3,9.11
560,675,78,2,11.97
561,762,27,5,4.32
562,381,3,1,3.3
563,154,80,1,12.47
564,450,93,5,23.31
565,698,33,5,6.88
566,883,59,4,10.59
567,762,36,5,4.7
568,483,92,3,16.47
569,914,60,1,9.33
570,783,90,3,21.25
571,985,87,3,16.6
572,967,57,4,11.74
573,826,30,5,6.94
574,13,68,4,10.38
575,142,53,4,6.44
576,990,56,5,9.9
577,29,75,1,17.4
578,665,87,4,20.08
579,315,62,4,12.76
580,106,11,3,3.25
581,440,47,2,10.33
582,961,84,3,21.26
583,586,48,4,7.56
584,378,12,2,4.96
585,730,83,2,16.81
586,96,49,5,10.91
587,797,57,3,9.07
588,368,92,4,15.69
589,873,76,4,17.8
590,886,65,2,10.56
591,522,98,2,16.67
592,6,85,3,16.9
593,666,44,3,11.09
594,617,52,5,11.25
595,123,32,1,7.8
596,5,10,2,3.92
597,490,10,2,3.2
598,426,60,5,10.69
599,499,14,2,3.06
600,987,63,4,14.43
601,728,30,5,5.54
602,444,92,5,18.05
603,134,78,5,12.14
604,968,18,2,2.52
605,626,11,1,5.04
606,51,69,5,17.98
607,163,8,1,3.61
608,328,47,4,6.37
609,537,100,1,22.38
610,377,83,4,20.13
611,423,100,1,22.16
612,472,7,5,4.7
613,461,95,5,17.79
614,792,10,5,2.76
615,177,70,5,17.46
616,285,87,5,19.78
617,458,69,4,15.34
618,723,7,5,3.53
619,600,92,1,17.01
620,444,47,3,6.7
621,694,31,4,5.57
622,909,97,3,22.62
623,580,74,1,12.61
624,531,1,4,4.13
625,586,27,2,7.03
626,463,96,5,19.42
627,504,72,3,11.55
628,929,10,3,5.14
629,36,100,1,21.53
630,5,83,2,23.66
631,141,13,5,3.37
632,703,14,2,5.18
633,902,4,4,5.02
634,533,37,4,4.88
635,823,52,4,8.68
636,851,36,1,4.37
637,667,28,4,6.97
638,599,49,5,6.79
639,316,77,5,17.78
640,489,59,5,11.03
641,391,3,4,5.13
642,75,32,5,4.41
643,544,37,5,6.78
644,405,93,4,15.96
645,464,34,5,5.27
646,353,34,1,6.9
647,488,73,1,15.76
648,7,22,5,4.69
649,8,36,5,6.58
650,958,97,1,18.36
651,88,83,4,21.42
652,888,22,3,4.12
653,260,82,1,24.58
654,186,88,1,16.68
655,526,9,5,2.8
656,308,83,3,22.68
657,448,33,4,7.97
658,621,6,5,3.39
659,649,62,4,10.97
660,745,84,2,16.01
661,308,83,1,23.09
662,275,96,3,20.38
663,277,53,4,10.35
664,831,30,1,4.12
665,473,27,4,7.58
666,155,18,1,5.24
667,916,42,4,8.56
668,932,60,1,10.9
669,699,35,3,5.95
670,260,13,5,3.62
671,565,20,2,3.85
672,92,1,4,4.57
673,214,5,2,2.75
674,313,13,4,3.64
675,474,53,4,7.16
676,986,40,1,6.22
677,677,98,5,17.67
678,896,88,2,24.32
679,60,82,3,18.0
680,554,22,1,5.95
681,672,37,4,5.76
682,178,53,1,8.74
683,277,64,3,15.23
684,496,72,5,14.37
685,343,25,5,4.76
686,885,82,5,16.62
687,277,2,2,3.13
688,882,20,3,4.64
689,502,57,2,11.6
690,393,7,3,3.74
691,429,10,5,2.54
692,310,25,5,5.21
693,849,25,5,4.5
694,235,56,1,8.13
695,458,56,4,8.23
696,802,43,3,11.98
697,678,87,2,19.12
698,390,72,2,16.04
699,876,82,3,17.45
700,415,13,1,4.73
701,205,70,5,14.31
702,340,73,4,13.83
703,713,70,3,10.94
704,491,1,4,5.08
705,251,58,3,11.86
706,976,68,5,11.6
707,369,74,5,16.3
708,424,66,1,14.21
709,88,27,3,7.87
710,930,29,5,5.28
711,189,99,1,21.33
712,737,74,1,14.22
713,338,90,4,19.29
714,625,70,3,11.4
715,283,77,1,14.68
716,643,83,3,24.93
717,216,84,1,24.08
718,960,48,5,8.64
719,352,4,1,4.22
720,313,76,4,11.71
721,153,62,3,15.08
722,330,5,2,4.69
723,205,27,1,7.4
724,184,88,1,18.57
725,996,44,1,10.31
726,823,100,4,23.21
727,603,70,5,15.59
728,177,11,1,3.06
729,687,53,3,6.44
730,689,67,3,17.79
731,218,92,1,17.77
732,164,49,5,9.79
733,154,51,5,10.72
734,177,53,4,10.71
735,960,14,5,3.26
736,339,37,4,7.89
737,493,60,1,9.17
738,16,23,1,6.39
739,319,85,4,18.41
740,764,91,3,22.28
741,321,54,5,6.39
742,149,68,3,15.99
743,692,78,3,11.3
744,582,14,3,2.78
745,177,87,5,23.45
746,727,42,3,9.39
747,788,81,5,16.66
748,261,5,5,2.89
749,524,27,1,6.97
750,905,35,1,6.25
751,804,58,1,10.8
752,948,51,4,9.96
753,897,89,2,23.07
754,211,6,4,4.96
755,447,99,5,16.26
756,922,42,4,11.04
757,675,82,2,21.84
758,113,97,4,19.6
759,674,14,1,3.06
760,584,97,2,16.1
761,650,74,4,13.3
762,97,23,4,7.19
763,419,9,4,4.7
764,684,76,2,17.5
765,953,30,3,5.48
766,817,87,5,19.47
767,520,100,2,23.31
768,706,3,1,3.81
769,587,83,1,19.12
770,607,18,2,3.01
771,436,88,4,23.18
772,399,25,1,6.62
773,542,4,1,4.78
774,58,96,1,21.01
775,179,15,1,4.02
776,311,79,1,14.86
777,815,31,5,5.46
778,383,2,5,2.77
779,111,15,4,4.85
780,115,7,3,3.58
781,930,51,4,10.01
782,987,32,2,5.35
783,82,81,2,15.19
784,897,6,4,3.65
785,342,14,4,4.6
786,15,63,1,15.77
787,110,83,2,21.97
788,83,6,5,4.86
789,767,37,4,7.64
790,167,93,3,16.76
791,274,58,1,6.17
792,570,89,2,20.04
793,346,89,4,17.72
794,752,95,1,24.78
795,10,27,3,6.09
796,6,15,3,4.31
797,324,5,4,2.54
798,868,48,4,7.47
799,456,42,2,7.22
800,141,25,4,6.84
801,896,30,5,5.95
802,649,93,5,15.14
803,427,53,5,7.44
804,388,88,3,23.65
805,518,48,2,6.11
806,609,55,5,6.2
807,769,1,1,2.95
808,125,95,3,17.43
809,18,43,1,6.04
810,999,34,4,4.06
811,677,50,1,10.71
812,220,82,4,23.6
813,139,98,1,24.88
814,636,42,2,10.6
815,675,53,3,6.24
816,498,53,1,7.34
817,779,23,2,5.9
818,760,99,1,16.93
819,678,72,3,15.07
820,53,60,4,6.25
821,82,99,4,18.52
822,831,51,5,10.4
823,627,65,5,12.41
824,757,91,3,19.34
825,970,82,4,24.2
826,846,29,1,5.0
827,262,44,3,6.82
828,703,100,3,17.3
829,104,11,3,4.59
830,925,100,4,24.37
831,931,31,1,6.51
832,559,78,5,15.6
833,169,12,2,3.95
834,360,90,2,16.1
835,614,69,3,13.04
836,194,53,4,10.07
837,729,84,3,20.51
838,974,89,5,16.42
839,282,78,4,11.56
840,637,95,1,23.17
841,764,16,1,3.76
842,921,26,2,5.63
843,104,72,1,11.39
844,310,64,1,11.61
845,545,11,2,3.41
846,232,94,4,17.73
847,296,96,5,19.22
848,684,80,1,11.34
849,819,68,2,17.67
850,60,98,4,22.3
851,114,14,1,3.32
852,521,30,1,4.61
853,894,42,4,11.19
854,983,25,4,7.38
855,527,89,4,15.17
856,922,63,5,12.81
857,689,4,2,4.69
858,186,73,4,11.48
859,740,16,2,5.16
860,373,6,3,4.97
861,792,74,4,13.34
862,303,36,4,7.0
863,291,47,1,10.1
864,977,93,5,23.21
865,745,31,4,7.64
866,621,36,5,4.04
867,348,17,5,4.13
868,453,44,1,8.68
869,986,85,3,20.04
870,641,11,2,5.12
871,803,80,4,14.57
872,206,38,3,5.74
873,407,53,4,7.46
874,811,87,4,19.05
875,148,63,2,10.08
876,64,64,1,14.43
877,737,59,1,10.68
878,9,4,5,3.61
879,317,60,1,11.44
880,218,93,3,22.65
881,910,47,2,9.0
882,523,1,1,3.62
883,16,33,3,4.07
884,387,96,4,18.64
885,367,40,1,4.75
886,802,80,4,15.0
887,820,24,5,5.17
888,634,98,2,20.52
889,286,52,5,10.98
890,724,18,5,4.15
891,600,64,5,16.71
892,628,42,2,8.91
893,681,2,3,5.31
894,45,32,3,7.37
895,17,85,3,22.31
896,860,46,5,7.75
897,496,54,2,6.61
898,234,15,1,4.79
899,174,91,5,20.09
900,468,27,2,4.72
901,631,2,5,5.47
902,204,70,5,15.87
903,612,60,1,10.37
904,897,83,2,20.83
905,101,48,4,6.54
906,945,73,4,17.49
907,551,45,1,6.11
908,613,60,4,6.2
909,401,11,1,4.89
910,886,87,4,17.11
911,697,66,5,11.56
912,915,28,1,6.13
913,148,9,4,4.02
914,547,77,3,16.09
915,909,76,2,11.63
916,429,27,4,4.74
917,904,9,3,3.58
918,282,99,3,15.8
919,647,55,1,8.64
920,465,45,2,10.64
921,66,78,4,14.03
922,806,83,5,22.53
923,761,1,2,5.29
924,375,68,3,13.81
925,699,5,4,2.72
926,972,62,4,13.11
927,270,60,3,8.15
928,580,60,5,7.35
929,806,31,3,6.11
930,463,49,1,11.31
931,648,61,1,16.21
932,722,31,3,6.91
933,82,32,1,6.94
934,705,6,1,2.77
935,431,33,4,4.87
936,227,40,5,7.8
937,67,6,5,3.82
938,742,72,4,10.67
939,927,35,4,7.19
940,839,74,2,13.88
941,461,75,1,13.26
942,451,59,2,6.22
943,44,48,2,6.35
944,588,5,3,4.99
945,407,32,3,5.07
946,594,53,4,9.75
947,418,4,2,3.09
948,212,48,1,9.68
949,101,34,4,6.74
950,208,10,2,4.81
951,484,55,1,10.14
952,402,5,5,2.85
953,574,9,4,2.97
954,126,18,3,4.5
955,119,59,1,9.99
956,183,84,2,21.32
957,187,81,1,21.11
958,434,16,5,3.57
959,535,33,1,6.09
960,528,72,3,10.77
961,740,5,2,4.44
962,487,2,3,3.68
963,158,100,2,19.66
964,619,58,3,6.55
965,138,47,2,11.07
966,748,99,1,15.47
967,623,95,4,20.3
968,670,25,4,5.43
969,466,71,3,16.3
970,250,22,1,4.85
971,162,96,3,17.73
972,596,57,2,6.58
973,834,36,3,5.88
974,9,37,4,5.29
975,524,52,2,8.73
976,867,92,5,17.9
977,323,44,1,6.0
978,225,77,3,15.38
979,882,65,2,11.33
980,361,22,3,6.7
981,22,71,4,15.83
982,760,59,5,6.24
983,841,43,1,11.93
984,925,44,5,8.62
985,189,61,4,12.18
986,899,68,4,15.93
987,566,6,1,3.7
988,63,57,4,8.47
989,240,94,3,16.44
990,855,99,3,24.1
991,636,69,4,14.64
992,494,29,3,7.67
993,379,42,5,11.23
994,413,80,5,10.66
995,756,37,5,4.33
996,372,58,3,9.28
997,249,17,3,3.9
998,750,7,3,4.25
999,825,69,1,10.36
1000,776,38,5,5.4
