supplier_id,ingredient_id,last_unit_price,is_preferred
36,110,9.77,yes
37,111,10.67,no
38,112,13.15,yes
39,113,11.06,yes
40,114,19.08,yes
41,115,16.62,no
42,116,10.03,yes
43,1,1.33,yes
44,2,2.92,yes
45,3,1.56,yes
46,4,1.59,yes
47,5,1.22,no
48,6,2.6,no
49,7,2.43,yes
50,8,1.7,no
51,9,1.56,yes
1,10,1.91,yes
2,11,2.38,yes
3,12,2.4,no
4,13,2.38,yes
5,14,2.99,yes
6,15,1.65,yes
7,16,2.62,yes
8,17,1.09,no
9,18,1.42,no
10,19,2.1,no
11,20,2.49,yes
12,21,4.13,no
13,22,3.7,yes
14,23,4.51,yes
15,24,4.95,yes
16,25,4.89,yes
17,26,4.48,yes
18,27,1.71,yes
19,28,3.68,yes
20,29,4.42,yes
21,30,3.12,no
22,31,1.9,yes
23,32,4.63,no
24,33,3.72,no
25,34,1.82,yes
26,35,4.4,yes
27,36,3.23,yes
28,37,3.62,no
29,38,1.59,yes
30,39,3.21,no
31,40,1.36,no
32,41,6.64,yes
33,42,9.15,yes
34,43,11.5,yes
35,44,10.39,yes
36,45,10.44,yes
37,46,10.22,yes
38,47,8.36,yes
39,48,11.93,yes
40,49,11.15,no
41,50,10.4,no
42,51,7.26,yes
43,52,7.38,yes
44,53,10.9,yes
45,54,10.71,yes
46,55,7.97,yes
47,56,9.94,no
48,57,5.68,yes
49,58,10.8,no
50,59,11.56,yes
51,60,5.83,no
1,61,11.77,yes
2,62,11.75,no
3,63,15.0,yes
4,64,13.97,yes
5,65,8.15,yes
6,66,10.8,yes
7,67,7.32,no
8,68,11.62,yes
9,69,11.85,yes
10,70,7.62,yes
11,71,7.36,yes
12,72,11.15,yes
13,73,7.95,yes
14,74,12.21,no
15,75,14.32,yes
16,76,7.39,yes
17,77,6.83,no
18,78,12.76,no
19,79,12.04,yes
20,80,11.56,no
21,81,6.46,yes
22,82,2.84,no
23,83,2.35,yes
24,84,3.78,yes
25,85,6.34,yes
26,86,7.59,yes
27,87,4.51,yes
28,88,6.91,no
29,89,5.55,no
30,90,6.67,yes
31,91,7.36,yes
32,92,3.83,yes
33,93,6.75,no
34,94,3.47,yes
35,95,3.37,yes
36,96,4.58,no
37,97,5.73,yes
38,98,7.46,yes
39,99,6.33,no
40,100,4.03,yes
41,101,3.82,yes
42,102,1.74,no
43,103,10.73,no
44,104,6.19,yes
45,105,10.71,no
46,106,9.63,yes
47,107,9.95,yes
48,108,12.72,yes
49,109,11.23,yes
50,110,10.57,yes
51,111,6.04,yes
1,112,15.16,yes
2,113,15.79,yes
3,114,19.0,yes
4,115,13.48,yes
5,116,19.98,no
6,1,1.3,yes
7,2,2.52,no
8,3,2.71,yes
9,4,1.36,no
10,5,1.81,yes
11,6,1.02,yes
12,7,2.15,yes
13,8,1.16,yes
14,9,2.42,no
15,10,1.82,yes
16,11,1.98,yes
17,12,2.45,yes
18,13,1.58,yes
19,14,2.39,yes
20,15,1.44,yes
21,16,2.3,yes
22,17,1.45,yes
23,18,1.19,yes
24,19,1.15,yes
25,20,1.93,no
26,21,1.81,yes
27,22,2.14,no
28,23,3.52,no
29,24,1.54,yes
30,25,2.05,yes
31,26,1.37,yes
32,27,1.95,no
33,28,1.78,yes
34,29,3.19,no
35,30,3.89,no
36,31,3.47,yes
37,32,4.29,yes
38,33,4.24,no
39,34,1.67,yes
40,35,3.91,yes
41,36,2.48,yes
42,37,3.47,yes
43,38,4.25,yes
44,39,4.95,yes
45,40,3.89,no
46,41,10.31,no
47,42,5.54,yes
48,43,10.6,yes
49,44,8.43,yes
50,45,11.0,yes
51,46,5.75,no
1,47,5.79,yes
2,48,5.07,no
3,49,5.16,no
4,50,10.68,yes
5,51,10.36,yes
6,52,7.1,no
7,53,5.41,yes
8,54,7.71,no
9,55,8.93,no
10,56,10.82,yes
11,57,7.64,yes
12,58,11.09,yes
13,59,7.9,yes
14,60,9.17,no
15,61,6.38,yes
16,62,13.83,no
17,63,14.93,yes
18,64,11.88,no
19,65,7.7,yes
20,66,7.77,yes
21,67,6.0,yes
22,68,11.63,yes
23,69,8.89,no
24,70,13.7,yes
25,71,12.99,yes
26,72,12.33,no
27,73,10.16,yes
28,74,13.94,no
29,75,14.15,yes
30,76,8.45,no
31,77,9.89,no
32,78,6.43,yes
33,79,7.47,yes
34,80,6.63,yes
35,81,6.52,no
36,82,6.25,yes
37,83,6.76,yes
38,84,5.97,yes
39,85,7.62,yes
40,86,6.05,yes
41,87,6.33,yes
42,88,3.99,no
43,89,3.91,yes
44,90,5.76,yes
45,91,4.7,yes
46,92,4.83,yes
47,93,4.87,no
48,94,4.15,yes
49,95,5.95,no
50,96,7.0,no
51,97,3.49,yes
1,98,5.7,no
2,99,7.75,yes
3,100,2.09,yes
4,101,13.76,no
5,102,3.28,yes
6,103,7.75,yes
7,104,5.19,yes
8,105,17.06,yes
9,106,12.88,yes
10,107,3.77,yes
11,108,2.47,no
12,109,8.43,no
13,110,14.75,yes
14,111,6.91,no
15,112,5.62,yes
16,113,11.45,yes
17,114,19.44,yes
18,115,7.13,yes
19,116,14.16,yes
20,1,1.75,yes
21,2,1.77,yes
22,3,1.14,yes
23,4,1.71,no
24,5,1.35,yes
25,6,2.04,no
26,7,2.26,yes
27,8,2.33,yes
28,9,2.36,no
29,10,2.63,yes
30,11,1.58,no
31,12,1.48,yes
32,13,2.27,no
33,14,2.71,yes
34,15,1.5,yes
35,16,1.25,yes
36,17,1.16,no
37,18,2.46,no
38,19,2.94,yes
39,20,1.61,yes
40,21,4.78,yes
41,22,1.68,yes
42,23,3.42,yes
43,24,3.18,yes
44,25,1.91,no
45,26,2.23,yes
46,27,3.8,no
47,28,2.56,yes
48,29,1.63,yes
49,30,3.18,yes
50,31,1.55,yes
51,32,2.52,yes
1,33,3.27,no
2,34,2.85,yes
3,35,4.58,yes
4,36,3.29,no
5,37,2.81,yes
6,38,3.21,no
7,39,4.31,yes
8,40,2.42,yes
9,41,5.86,yes
10,42,11.98,yes
11,43,5.73,yes
12,44,7.08,yes
13,45,7.55,yes
14,46,8.37,no
15,47,9.7,yes
16,48,11.96,no
17,49,7.18,yes
18,50,6.85,yes
19,51,5.73,yes
20,52,11.18,yes
21,53,11.22,yes
22,54,6.36,yes
23,55,7.94,yes
24,56,9.09,no
25,57,11.24,yes
26,58,11.54,yes
27,59,10.86,yes
28,60,10.15,yes
29,61,6.12,yes
30,62,10.73,no
31,63,6.12,yes
32,64,12.42,yes
33,65,6.13,yes
34,66,9.48,yes
35,67,6.62,yes
36,68,13.4,no
37,69,8.94,yes
38,70,12.36,yes
39,71,12.27,yes
40,72,14.35,yes
41,73,9.23,yes
42,74,6.95,yes
43,75,8.87,yes
44,76,12.89,yes
45,77,11.48,yes
46,78,9.56,no
47,79,6.68,yes
48,80,9.57,yes
49,81,3.31,yes
50,82,3.66,yes
51,83,3.99,no
1,84,2.62,yes
2,85,5.47,no
3,86,2.01,no
4,87,7.11,no
5,88,7.43,yes
6,89,7.54,yes
7,90,3.15,no
8,91,7.33,yes
9,92,4.27,yes
10,93,7.88,no
11,94,5.1,yes
12,95,7.52,yes
13,96,6.61,yes
14,97,6.22,yes
15,98,3.28,yes
16,99,2.43,yes
17,100,3.31,yes
18,101,1.61,no
19,102,9.15,yes
20,103,2.67,yes
21,104,18.33,yes
22,105,3.7,no
23,106,5.08,yes
24,107,13.65,yes
25,108,19.57,no
26,109,3.96,yes
27,110,2.63,yes
28,111,19.89,no
29,112,6.63,yes
30,113,17.43,yes
31,114,14.58,no
32,115,14.41,yes
33,116,16.75,no
34,1,2.68,yes
35,2,1.4,yes
36,3,2.97,yes
37,4,1.38,yes
38,5,2.02,yes
39,6,1.33,yes
40,7,2.72,yes
41,8,2.54,no
42,9,1.06,yes
43,10,2.42,no
44,11,2.71,no
45,12,1.77,no
46,13,2.43,yes
47,14,2.52,no
48,15,2.79,yes
49,16,2.16,no
50,17,1.56,yes
51,18,2.58,no
1,19,1.84,no
2,20,1.66,no
3,21,4.22,no
4,22,3.26,yes
5,23,4.26,no
6,24,1.78,yes
7,25,1.04,yes
8,26,1.09,yes
9,27,4.26,no
10,28,1.55,yes
11,29,1.18,yes
12,30,3.08,yes
13,31,1.23,no
14,32,1.39,no
15,33,1.8,no
16,34,2.27,yes
17,35,4.87,no
18,36,3.76,yes
19,37,3.39,no
20,38,2.23,yes
21,39,1.86,yes
22,40,4.4,yes
23,41,10.82,no
24,42,11.14,yes
25,43,11.06,no
26,44,8.08,yes
27,45,8.33,no
28,46,11.59,yes
29,47,5.65,yes
30,48,5.33,yes
31,49,5.27,yes
32,50,6.06,yes
33,51,5.93,no
34,52,8.12,yes
35,53,5.94,no
36,54,11.27,no
37,55,11.5,yes
38,56,5.58,yes
39,57,10.62,no
40,58,6.81,yes
41,59,6.19,yes
42,60,8.6,yes
43,61,9.01,yes
44,62,10.32,yes
45,63,11.65,yes
46,64,6.26,yes
47,65,8.45,yes
48,66,12.48,yes
49,67,13.24,no
50,68,10.6,yes
51,69,12.37,yes
1,70,11.52,yes
2,71,14.58,yes
3,72,9.06,no
4,73,6.36,yes
5,74,11.14,no
6,75,9.4,yes
7,76,14.84,yes
8,77,9.03,no
9,78,9.2,yes
10,79,7.7,yes
11,80,14.74,no
12,81,3.87,yes
13,82,7.52,no
14,83,5.72,yes
15,84,7.3,yes
16,85,2.72,yes
17,86,5.91,no
18,87,7.75,yes
19,88,5.75,yes
20,89,4.73,no
21,90,4.51,yes
22,91,4.48,no
23,92,4.72,yes
24,93,5.69,no
25,94,3.9,yes
26,95,4.67,yes
27,96,2.28,yes
28,97,4.68,no
29,98,6.47,no
30,99,6.53,yes
31,100,5.39,yes
32,101,2.46,yes
33,102,15.52,no
34,103,15.49,no
35,104,9.66,yes
36,105,6.55,yes
37,106,16.85,yes
38,107,14.21,yes
39,108,12.83,yes
40,109,18.59,no
41,110,5.88,yes
42,111,16.36,yes
43,112,16.35,no
44,113,5.17,yes
45,114,13.4,yes
46,115,12.18,no
47,116,5.59,yes
48,1,1.88,yes
49,2,1.03,yes
50,3,1.57,yes
51,4,2.33,no
1,5,1.62,yes
2,6,1.81,no
3,7,2.44,no
4,8,2.38,no
5,9,2.27,yes
6,10,2.5,yes
7,11,1.22,yes
8,12,2.14,yes
9,13,2.51,yes
10,14,2.88,no
11,15,2.5,no
12,16,2.61,no
13,17,1.85,yes
14,18,2.68,yes
15,19,2.28,no
16,20,1.58,yes
17,21,1.56,yes
18,22,4.58,yes
19,23,1.52,yes
20,24,4.62,no
21,25,3.9,yes
22,26,4.91,yes
23,27,3.54,yes
24,28,3.08,yes
25,29,2.17,no
26,30,3.38,yes
27,31,4.26,yes
28,32,3.81,no
29,33,1.27,yes
30,34,3.72,yes
31,35,2.31,yes
32,36,4.17,no
33,37,1.98,yes
34,38,1.67,yes
35,39,2.38,yes
36,40,4.77,yes
37,41,8.86,no
38,42,5.86,no
39,43,11.92,yes
40,44,5.04,no
41,45,10.73,yes
42,46,7.11,yes
43,47,10.66,yes
44,48,9.15,yes
45,49,5.1,yes
46,50,6.58,yes
47,51,10.24,yes
48,52,10.37,yes
49,53,5.9,yes
50,54,6.74,yes
51,55,5.87,yes
1,56,7.72,no
2,57,8.68,yes
3,58,11.46,yes
4,59,8.63,yes
5,60,11.33,yes
6,61,6.96,yes
7,62,6.68,yes
8,63,7.47,yes
9,64,13.21,no
10,65,7.62,yes
11,66,6.04,yes
12,67,10.11,yes
13,68,11.84,yes
14,69,14.86,yes
15,70,10.42,yes
16,71,14.62,yes
17,72,9.39,no
18,73,12.9,yes
19,74,11.16,yes
20,75,9.23,no
21,76,11.58,no
22,77,12.07,yes
23,78,9.95,yes
24,79,13.43,yes
25,80,12.82,no
26,81,5.85,yes
27,82,6.49,yes
28,83,7.47,no
29,84,2.95,yes
30,85,7.34,no
31,86,2.97,yes
32,87,7.85,yes
33,88,6.29,yes
34,89,4.16,yes
35,90,3.29,yes
36,91,7.76,yes
37,92,7.81,no
38,93,4.12,yes
39,94,4.35,yes
40,95,5.84,yes
41,96,7.23,yes
42,97,3.48,no
43,98,5.09,yes
44,99,5.29,yes
45,100,4.79,yes
46,101,8.24,no
47,102,12.8,yes
48,103,17.38,no
49,104,17.72,yes
50,105,5.54,no
51,106,11.69,yes
1,107,10.25,no
2,108,17.15,no
3,109,15.68,yes
4,110,15.82,yes
5,111,11.61,no
6,112,6.22,yes
7,113,10.22,no
8,114,4.75,no
9,115,2.13,no
10,116,10.38,no
11,1,2.25,no
12,2,2.92,yes
13,3,2.79,no
14,4,1.93,no
15,5,2.93,no
16,6,1.99,yes
17,7,1.28,no
18,8,2.47,yes
19,9,1.34,no
20,10,1.22,yes
21,11,2.14,yes
22,12,1.56,yes
23,13,2.56,yes
24,14,1.09,yes
25,15,2.92,no
26,16,1.47,yes
27,17,2.12,yes
28,18,1.34,yes
29,19,2.48,yes
30,20,1.25,yes
31,21,3.94,yes
32,22,1.41,yes
33,23,3.93,yes
34,24,3.18,no
35,25,1.34,yes
36,26,2.95,yes
37,27,3.17,yes
38,28,3.94,yes
39,29,1.83,yes
40,30,4.89,yes
41,31,4.33,no
42,32,4.94,no
43,33,3.79,yes
44,34,4.4,no
45,35,3.61,no
46,36,1.14,yes
47,37,3.39,no
48,38,3.03,yes
49,39,3.83,no
50,40,1.48,yes
51,41,7.4,yes
1,42,8.87,yes
2,43,8.23,yes
3,44,5.63,yes
4,45,6.19,yes
5,46,10.58,yes
6,47,8.97,no
7,48,5.3,no
8,49,5.2,yes
9,50,5.86,yes
10,51,10.69,yes
11,52,11.15,yes
12,53,11.39,no
13,54,11.45,yes
14,55,8.81,yes
15,56,6.64,yes
16,57,6.37,yes
17,58,7.18,yes
18,59,10.17,yes
19,60,8.77,no
20,61,9.78,yes
21,62,8.13,no
22,63,12.57,yes
23,64,9.46,yes
24,65,11.58,yes
25,66,9.15,yes
26,67,7.73,yes
27,68,14.63,yes
28,69,12.67,no
29,70,14.17,no
30,71,10.77,yes
31,72,10.85,yes
