reservation_id,table_id,customer_id,reservation_datetime,status,party_size
282,7,282,13/11/2025,yes,3
283,8,283,24/11/2025,yes,3
284,9,284,08/12/2025,yes,1
285,10,285,06/12/2025,yes,6
286,11,286,21/11/2025,yes,4
287,12,287,26/11/2025,no,3
288,13,288,28/11/2025,yes,1
289,14,289,25/11/2025,no,2
290,15,290,08/12/2025,yes,1
291,16,291,30/11/2025,yes,3
292,17,292,03/12/2025,yes,1
293,18,293,01/12/2025,yes,7
294,19,294,05/12/2025,no,1
295,20,295,10/12/2025,yes,6
296,21,296,05/12/2025,no,1
297,22,297,04/12/2025,yes,8
298,23,298,10/12/2025,yes,2
299,24,299,11/11/2025,yes,8
300,25,300,22/11/2025,yes,5
