payment_id,order_id,payment_method
718,702,Online
719,213,Online
720,991,Cash
721,978,Cash
722,713,Card
723,914,Online
724,46,Online
725,30,Cash
726,61,Cash
727,400,Card
728,119,Cash
729,95,Card
730,766,Online
731,107,Online
732,881,Card
733,998,Card
734,222,Cash
735,47,Online
736,663,Cash
737,306,Online
738,81,Card
739,789,Cash
740,535,Card
741,96,Online
742,536,Card
743,624,Cash
744,63,Online
745,557,Online
746,641,Card
747,73,Card
748,64,Online
749,173,Card
750,453,Cash
751,757,Cash
752,867,Online
753,163,Cash
754,535,Card
755,79,Card
756,565,Card
757,179,Online
758,457,Cash
759,214,Online
760,881,Cash
761,689,Card
762,969,Cash
763,326,Cash
764,489,Online
765,91,Online
766,472,Online
767,100,Online
768,975,Online
769,504,Cash
770,332,Online
771,660,Card
772,552,Cash
773,891,Cash
774,861,Card
775,221,Cash
776,863,Cash
777,429,Card
778,853,Card
779,711,Cash
780,123,Card
781,602,Cash
782,672,Card
783,584,Cash
784,923,Card
785,988,Online
786,582,Card
787,596,Online
788,290,Online
789,767,Cash
790,713,Cash
791,818,Card
792,780,Online
793,11,Cash
794,283,Cash
795,38,Cash
796,502,Card
797,35,Online
798,535,Online
799,825,Card
800,894,Online
801,764,Cash
802,23,Card
803,254,Cash
804,503,Card
805,370,Cash
806,360,Card
807,325,Card
808,458,Card
809,629,Online
810,789,Card
811,769,Cash
812,379,Online
813,633,Card
814,507,Cash
815,457,Cash
816,301,Cash
817,26,Online
818,892,Cash
819,642,Cash
820,759,Card
821,824,Cash
822,551,Online
823,993,Online
824,26,Card
825,908,Online
826,615,Online
827,216,Online
828,530,Cash
829,870,Online
830,302,Cash
831,214,Card
832,515,Card
833,639,Card
834,131,Card
835,276,Card
836,450,Card
837,469,Online
838,3,Cash
839,644,Cash
840,90,Online
841,135,Online
842,870,Online
843,975,Cash
844,263,Cash
845,203,Card
846,316,Online
847,487,Cash
848,764,Cash
849,132,Card
850,873,Cash
851,896,Cash
852,274,Online
853,438,Online
854,103,Cash
855,748,Card
856,318,Cash
857,499,Card
858,593,Card
859,864,Online
860,28,Online
861,252,Online
862,844,Card
863,194,Online
864,48,Cash
865,542,Online
866,325,Card
867,700,Cash
868,413,Cash
869,586,Card
870,253,Online
871,363,Cash
872,243,Card
873,590,Card
874,936,Cash
875,43,Card
876,217,Online
877,418,Cash
878,802,Card
879,89,Online
880,315,Cash
881,506,Card
882,866,Online
883,882,Cash
884,23,Cash
885,616,Online
886,184,Cash
887,792,Card
888,612,Cash
889,14,Online
890,197,Online
891,253,Online
892,739,Online
893,370,Card
894,42,Online
895,691,Cash
896,718,Cash
897,80,Online
898,188,Online
899,667,Card
900,242,Card
901,75,Cash
902,778,Card
903,636,Online
904,965,Card
905,464,Online
906,339,Card
907,469,Card
908,666,Card
909,404,Card
910,720,Cash
911,395,Online
912,846,Cash
913,888,Cash
914,108,Card
915,136,Card
916,717,Online
917,352,Cash
918,469,Card
919,123,Online
920,628,Card
921,114,Online
922,315,Card
923,404,Card
924,941,Card
925,901,Online
926,301,Online
927,11,Cash
928,433,Card
929,674,Online
930,799,Online
931,56,Cash
932,471,Cash
933,929,Online
934,182,Cash
935,683,Card
936,813,Cash
937,51,Online
938,625,Card
939,711,Card
940,216,Cash
941,933,Online
942,406,Cash
943,412,Online
944,458,Online
945,479,Online
946,196,Card
947,948,Online
948,819,Online
949,915,Card
950,173,Card
951,225,Online
952,42,Online
953,543,Cash
954,934,Online
955,980,Card
956,628,Cash
957,924,Online
958,898,Online
959,166,Cash
960,730,Online
961,804,Card
962,278,Card
963,760,Online
964,42,Card
965,448,Online
966,587,Card
967,447,Card
968,449,Cash
969,130,Card
970,291,Online
971,799,Online
972,956,Card
973,321,Cash
974,645,Cash
975,871,Card
976,444,Cash
977,819,Online
978,911,Online
979,638,Cash
980,676,Cash
981,831,Card
982,205,Cash
983,130,Cash
984,170,Online
985,292,Cash
986,95,Online
987,710,Cash
988,734,Cash
989,853,Cash
990,502,Cash
991,410,Online
992,568,Cash
993,331,Online
994,863,Online
995,278,Card
996,398,Cash
997,464,Card
998,869,Card
999,863,Cash
1000,811,Cash
