supply_order_id,supplier_id ,order_date,expected_delivery_date,status,total_cost
62,45,12/2/2025,12/5/2025,Delivered,918.87
63,8,11/29/2025,12/2/2025,Delivered,121.28
64,49,12/4/2025,12/8/2025,Delivered,966.01
65,38,12/6/2025,12/10/2025,Delivered,982.21
66,22,12/6/2025,12/7/2025,Canceled,185.35
67,16,12/5/2025,12/9/2025,Delivered,291.52
68,5,11/12/2025,11/16/2025,Canceled,174.13
69,32,11/26/2025,11/29/2025,Delivered,625.6
70,44,12/10/2025,12/14/2025,Delivered,434.36
71,4,12/5/2025,12/11/2025,Canceled,710.15
72,37,11/23/2025,11/24/2025,Canceled,502.31
73,9,12/6/2025,12/13/2025,Delivered,921.23
74,16,11/28/2025,11/29/2025,Delivered,309.0
75,30,11/12/2025,11/14/2025,Delivered,576.63
76,31,11/25/2025,11/26/2025,Delivered,919.29
77,40,12/5/2025,12/12/2025,Canceled,220.24
78,28,12/8/2025,12/9/2025,Canceled,990.69
79,48,12/2/2025,12/6/2025,Delivered,501.78
80,4,12/2/2025,12/4/2025,Delivered,308.54
81,4,11/28/2025,11/29/2025,Canceled,470.51
82,44,11/13/2025,11/19/2025,Delivered,583.43
83,48,12/3/2025,12/8/2025,Delivered,639.54
84,44,11/19/2025,11/22/2025,Delivered,605.87
85,24,11/30/2025,12/7/2025,Delivered,469.14
86,4,11/24/2025,11/25/2025,Delivered,127.27
87,22,11/24/2025,11/28/2025,Delivered,943.84
88,31,11/13/2025,11/18/2025,Delivered,263.13
89,31,11/15/2025,11/17/2025,Canceled,188.37
90,27,12/1/2025,12/7/2025,Delivered,757.95
91,22,12/4/2025,12/5/2025,Delivered,160.93
92,3,12/4/2025,12/8/2025,Delivered,609.56
93,46,12/5/2025,12/6/2025,Delivered,705.96
94,5,11/16/2025,11/21/2025,Delivered,735.88
95,41,11/18/2025,11/24/2025,Delivered,341.03
96,1,11/25/2025,11/29/2025,Delivered,424.57
97,19,11/26/2025,12/1/2025,Canceled,132.6
98,40,11/21/2025,11/25/2025,Delivered,794.66
99,43,11/14/2025,11/21/2025,Delivered,378.36
100,21,12/3/2025,12/8/2025,Delivered,935.12
101,39,12/2/2025,12/4/2025,Canceled,200.6
102,28,12/9/2025,12/15/2025,Delivered,209.89
103,17,11/21/2025,11/22/2025,Delivered,932.76
104,9,11/29/2025,12/2/2025,Delivered,626.71
105,14,11/18/2025,11/25/2025,Delivered,558.65
106,6,11/18/2025,11/21/2025,Delivered,545.8
107,6,12/10/2025,12/15/2025,Delivered,146.81
108,47,11/25/2025,11/26/2025,Canceled,311.48
109,34,11/24/2025,11/30/2025,Delivered,491.44
110,46,11/18/2025,11/20/2025,Canceled,756.37
111,8,12/9/2025,12/13/2025,Delivered,475.15
112,25,11/22/2025,11/29/2025,Delivered,728.3
113,27,11/20/2025,11/24/2025,Delivered,796.52
114,34,12/10/2025,12/16/2025,Delivered,776.5
115,9,12/9/2025,12/15/2025,Delivered,725.47
116,31,11/27/2025,11/29/2025,Canceled,100.51
117,32,11/16/2025,11/21/2025,Delivered,644.79
118,5,11/27/2025,12/1/2025,Delivered,545.22
119,39,12/3/2025,12/8/2025,Delivered,865.04
120,18,11/13/2025,11/18/2025,Delivered,905.84
